Race,Period,Age,BC_All,BC_All_LCL,BC_All_UCL
Asian,1992,44,14.904302115808118,14.172386211453903,15.667117061602626
Hispanic,1990,43,12.69953151698274,12.252500726545916,13.160426001151059
Non-Hispanic Black,1991,44,10.090448617189763,9.819002913275881,10.368535638380743
Non-Hispanic White,1989,44,14.423736680564204,14.15743280087353,14.694192325277559
