Period,Asian,Hispanic,Non-Hispanic Black,Non-Hispanic White
1968,2.130145134323478,2.4113387216484115,2.2848606125741933,4.36067892653091
1969,2.212380120069329,2.484352688271815,2.352509057194547,4.4306840597664054
1970,2.2992072623348436,2.5615480985639887,2.424606970460241,4.506168714826606
1971,2.392694515043837,2.6451482550748127,2.5034259170529056,4.590698787166495
1972,2.495118920142823,2.737539227181127,2.5912073599748253,4.687911480981008
1973,2.6074390941059593,2.839589968902887,2.6886976171894683,4.798747862280499
1974,2.728785095112429,2.949958743564403,2.794993993127513,4.919946656936296
1975,2.856497530826568,3.0656008376182267,2.9070072413351,5.046177386604982
1976,2.9861799664788617,3.1816941303797814,3.0200240509451852,5.169553648131854
1977,3.112370056284487,3.292409682558201,3.1282668039857504,5.281021437772047
1978,3.231019535516903,3.393560827413832,3.227390423814627,5.374505324714047
1979,3.344521172893686,3.4878247522837427,3.3199034525223574,5.454705912504389
1980,3.4571347328801934,3.579754355426009,3.4103261611801035,5.528920207978952
1981,3.572371780701401,3.6730108694230026,3.5022379318669645,5.6027598230577835
1982,3.689773946081959,3.767076601291408,3.594880470599962,5.6754023454216105
1983,3.807483743908082,3.8600153576054086,3.6860748409096624,5.74398555543159
1984,3.92530977285292,3.951629242371114,3.7756430697599876,5.8082757602032835
1985,4.041840705055041,4.0404871380800405,3.8623940057337194,5.866290291503212
1986,4.158372917511885,4.127905186548628,3.9482767728016994,5.920092214875412
1987,4.277466246593045,4.216425785257084,4.036526598291715,5.973264381482843
1988,4.398484710386305,4.305366054978353,4.12720282827001,6.024798287534361
1989,4.51399949916214,4.387374998143978,4.213919599140077,6.064674280678752
1990,4.611311782288477,4.450128947032699,4.28526318737281,6.076650118690912
1991,4.680413803334823,4.4842391819983,4.332037814783402,6.049121060694295
1992,4.720208948564277,4.489190067285884,4.353419858980471,5.982674772344073
1993,4.737482777138969,4.472076248485703,4.355990998335938,5.8877933375808915
1994,4.741043567805385,4.441759837949124,4.347856322035158,5.776807693873857
1995,4.734693574527076,4.402150498402612,4.331966619002999,5.655245853432393
1996,4.722235474026535,4.357068345956253,4.310985567255569,5.52830290169035
1997,4.71047894963851,4.313038719575029,4.290403563718886,5.404315707034752
1998,4.706602543180146,4.2767438689541315,4.2762092972181875,5.291435354478333
1999,4.715401980651783,4.252480108704339,4.272750959740963,5.194521238172637
2000,4.739317896324809,4.242273136172097,4.282385769463379,5.115447115419935
2001,4.775675492676032,4.243444296106159,4.30276312678566,5.050391372012645
2002,4.823663855252935,4.255065319734225,4.333191653542298,4.997725870275492
2003,4.88140525877227,4.275273872704564,4.371943479716025,4.954791459319279
2004,4.945042672399692,4.30049226891854,4.415408783604083,4.917074287412626
2005,5.010939006556436,4.32742514718621,4.460112038897555,4.880582836064104
2006,5.077978776765863,4.355066165347633,4.504584256181227,4.844061415777002
2007,5.144647861948605,4.382079867932164,4.54686168733971,4.805955912070788
2008,5.2100090304405,4.40766356114505,4.585276620548424,4.765386983125451
2009,5.273513817037735,4.431370800308555,4.618420680599205,4.721927084294977
2010,5.329049483359855,4.448010084554386,4.6398304819135125,4.670193930910593
2011,5.371284338138118,4.453183696296711,4.643872751975409,4.605955113086471
2012,5.40120079783272,4.447926773326472,4.631161989053389,4.530814411325449
2013,5.422529718218548,4.435541536651858,4.605609825788762,4.448607426978339
2014,5.4425262324888415,4.422168587522344,4.574790134202051,4.365796114836069
2015,5.466566740526084,4.412225132701896,4.544517603349911,4.2867870196397915
2016,5.499346780917129,4.409450806872239,4.519858948632492,4.215068722241906
2017,5.542203858548702,4.414739718015072,4.5028628377656315,4.151198321647653
2018,5.591315264782328,4.424757440749845,4.490818463320107,4.091715925703287
