"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1973"	"1973"	"Not Stated"	"NS"	189	Not Applicable	Not Applicable
"Total"	"1973"	"1973"			876208	108393639	808.4
	"1974"	"1974"	"< 1 year"	"1"	22471	1537844	1461.2
	"1974"	"1974"	"1-4 years"	"1-4"	4244	6569000	64.6
	"1974"	"1974"	"5-9 years"	"5-9"	2613	8730000	29.9
	"1974"	"1974"	"10-14 years"	"10-14"	2859	10243000	27.9
	"1974"	"1974"	"15-19 years"	"15-19"	5753	10349000	55.6
	"1974"	"1974"	"20-24 years"	"20-24"	6321	9415000	67.1
	"1974"	"1974"	"25-34 years"	"25-34"	13485	15211000	88.7
	"1974"	"1974"	"35-44 years"	"35-44"	23641	11633000	203.2
	"1974"	"1974"	"45-54 years"	"45-54"	58340	12336000	472.9
	"1974"	"1974"	"55-64 years"	"55-64"	107672	10447000	1030.6
	"1974"	"1974"	"65-74 years"	"65-74"	180689	7685000	2351.2
	"1974"	"1974"	"75-84 years"	"75-84"	255077	4196000	6079.1
	"1974"	"1974"	"85+ years"	"85+"	179419	1141000	15724.7
	"1974"	"1974"	"Not Stated"	"NS"	177	Not Applicable	Not Applicable
"Total"	"1974"	"1974"			862761	109492844	788.0
	"1975"	"1975"	"< 1 year"	"1"	21713	1531063	1418.2
	"1975"	"1975"	"1-4 years"	"1-4"	3974	6342000	62.7
	"1975"	"1975"	"5-9 years"	"5-9"	2468	8623000	28.6
	"1975"	"1975"	"10-14 years"	"10-14"	2560	10112000	25.3
	"1975"	"1975"	"15-19 years"	"15-19"	5630	10465000	53.8
	"1975"	"1975"	"20-24 years"	"20-24"	6407	9677000	66.2
	"1975"	"1975"	"25-34 years"	"25-34"	13244	15833000	83.6
	"1975"	"1975"	"35-44 years"	"35-44"	22256	11631000	191.4
	"1975"	"1975"	"45-54 years"	"45-54"	56025	12307000	455.2
	"1975"	"1975"	"55-64 years"	"55-64"	105622	10629000	993.7
	"1975"	"1975"	"65-74 years"	"65-74"	176300	7880000	2237.3
	"1975"	"1975"	"75-84 years"	"75-84"	248332	4324000	5743.1
	"1975"	"1975"	"85+ years"	"85+"	177357	1227000	14454.5
	"1975"	"1975"	"Not Stated"	"NS"	172	Not Applicable	Not Applicable
"Total"	"1975"	"1975"			842060	110581063	761.5
	"1976"	"1976"	"< 1 year"	"1"	20945	1543352	1357.1
	"1976"	"1976"	"1-4 years"	"1-4"	3691	6114000	60.4
	"1976"	"1976"	"5-9 years"	"5-9"	2408	8655000	27.8
	"1976"	"1976"	"10-14 years"	"10-14"	2425	9837000	24.7
	"1976"	"1976"	"15-19 years"	"15-19"	5560	10582000	52.5
	"1976"	"1976"	"20-24 years"	"20-24"	6268	9901000	63.3
	"1976"	"1976"	"25-34 years"	"25-34"	13267	16474000	80.5
	"1976"	"1976"	"35-44 years"	"35-44"	21309	11764000	181.1
	"1976"	"1976"	"45-54 years"	"45-54"	54712	12236000	447.1
	"1976"	"1976"	"55-64 years"	"55-64"	106365	10812000	983.8
	"1976"	"1976"	"65-74 years"	"65-74"	176461	8062000	2188.8
	"1976"	"1976"	"75-84 years"	"75-84"	252526	4455000	5668.4
	"1976"	"1976"	"85+ years"	"85+"	191353	1290000	14833.6
	"1976"	"1976"	"Not Stated"	"NS"	167	Not Applicable	Not Applicable
"Total"	"1976"	"1976"			857457	111725352	767.5
	"1977"	"1977"	"< 1 year"	"1"	20100	1620716	1240.2
	"1977"	"1977"	"1-4 years"	"1-4"	3587	6006000	59.7
	"1977"	"1977"	"5-9 years"	"5-9"	2278	8581000	26.5
	"1977"	"1977"	"10-14 years"	"10-14"	2401	9550000	25.1
	"1977"	"1977"	"15-19 years"	"15-19"	5870	10581000	55.5
	"1977"	"1977"	"20-24 years"	"20-24"	6496	10152000	64.0
	"1977"	"1977"	"25-34 years"	"25-34"	13355	17085000	78.2
	"1977"	"1977"	"35-44 years"	"35-44"	21157	11996000	176.4
	"1977"	"1977"	"45-54 years"	"45-54"	52991	12101000	437.9
	"1977"	"1977"	"55-64 years"	"55-64"	105852	11028000	959.8
	"1977"	"1977"	"65-74 years"	"65-74"	177565	8293000	2141.1
	"1977"	"1977"	"75-84 years"	"75-84"	248659	4543000	5473.5
	"1977"	"1977"	"85+ years"	"85+"	192842	1365000	14127.6
	"1977"	"1977"	"Not Stated"	"NS"	201	Not Applicable	Not Applicable
"Total"	"1977"	"1977"			853354	112901716	755.8
	"1978"	"1978"	"< 1 year"	"1"	19857	1623885	1222.8
	"1978"	"1978"	"1-4 years"	"1-4"	3563	6062000	58.8
	"1978"	"1978"	"5-9 years"	"5-9"	2297	8465000	27.1
	"1978"	"1978"	"10-14 years"	"10-14"	2239	9262000	24.2
	"1978"	"1978"	"15-19 years"	"15-19"	5734	10555000	54.3
	"1978"	"1978"	"20-24 years"	"20-24"	6749	10373000	65.1
	"1978"	"1978"	"25-34 years"	"25-34"	13614	17562000	77.5
	"1978"	"1978"	"35-44 years"	"35-44"	20957	12431000	168.6
	"1978"	"1978"	"45-54 years"	"45-54"	51784	11994000	431.7
	"1978"	"1978"	"55-64 years"	"55-64"	106343	11215000	948.2
	"1978"	"1978"	"65-74 years"	"65-74"	180626	8499000	2125.3
	"1978"	"1978"	"75-84 years"	"75-84"	252932	4646000	5444.1
	"1978"	"1978"	"85+ years"	"85+"	205556	1443000	14245.0
	"1978"	"1978"	"Not Stated"	"NS"	247	Not Applicable	Not Applicable
"Total"	"1978"	"1978"			872498	114130885	764.5
"Total"					9408773	1190767295	790.1
"---"
"Dataset: Compressed Mortality, 1968-1978"
"Query Parameters:"
"Gender: Female"
"Group By: Year; Age Group"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cmf.html for more information."
"---"
"Query Date: Jul 2, 2020 2:10:19 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Compressed Mortality File"
"1968-1978. CDC WONDER Online Database, compiled from Compressed Mortality File CMF 1968-1988, Series 20, No. 2A, 2000. Accessed"
"at http://wonder.cdc.gov/cmf-icd8.html on Jul 2, 2020 2:10:19 PM"
"---"
Caveats:
"1. About national population figures: population figures for 1968-69 and 1971-78 are intercensal estimates of the July 1"
"resident population; population figures for 1970 are April 1 modified census counts. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Population Information."
"2. The population figures used in the calculation of death rates for the age group 'under 1 year' are the number of live births"
"for the given time period. More information: http://wonder.cdc.gov/wonder/help/cmf.html#Age Group."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Not Stated."
