"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
"Total"	"1984"	"1984"			106737	14895060	716.6
	"1985"	"1985"	"< 1 year"	"1"	4936	286724	1721.5
	"1985"	"1985"	"1-4 years"	"1-4"	743	1044776	71.1
	"1985"	"1985"	"5-9 years"	"5-9"	401	1260948	31.8
	"1985"	"1985"	"10-14 years"	"10-14"	327	1285927	25.4
	"1985"	"1985"	"15-19 years"	"15-19"	611	1371236	44.6
	"1985"	"1985"	"20-24 years"	"20-24"	1086	1473843	73.7
	"1985"	"1985"	"25-34 years"	"25-34"	3729	2711478	137.5
	"1985"	"1985"	"35-44 years"	"35-44"	5055	1827634	276.6
	"1985"	"1985"	"45-54 years"	"45-54"	8665	1298016	667.6
	"1985"	"1985"	"55-64 years"	"55-64"	17179	1121416	1531.9
	"1985"	"1985"	"65-74 years"	"65-74"	24722	833262	2966.9
	"1985"	"1985"	"75-84 years"	"75-84"	26196	431152	6075.8
	"1985"	"1985"	"85+ years"	"85+"	16895	133382	12666.6
	"1985"	"1985"	"Not Stated"	"NS"	52	Not Applicable	Not Applicable
"Total"	"1985"	"1985"			110597	15079794	733.4
	"1986"	"1986"	"< 1 year"	"1"	4899	291442	1681.0
	"1986"	"1986"	"1-4 years"	"1-4"	809	1052662	76.9
	"1986"	"1986"	"5-9 years"	"5-9"	401	1291549	31.0
	"1986"	"1986"	"10-14 years"	"10-14"	297	1249764	23.8
	"1986"	"1986"	"15-19 years"	"15-19"	672	1373895	48.9
	"1986"	"1986"	"20-24 years"	"20-24"	1153	1455994	79.2
	"1986"	"1986"	"25-34 years"	"25-34"	4098	2767133	148.1
	"1986"	"1986"	"35-44 years"	"35-44"	5532	1920837	288.0
	"1986"	"1986"	"45-54 years"	"45-54"	8818	1312967	671.6
	"1986"	"1986"	"55-64 years"	"55-64"	16976	1128029	1504.9
	"1986"	"1986"	"65-74 years"	"65-74"	24816	843590	2941.7
	"1986"	"1986"	"75-84 years"	"75-84"	26440	445733	5931.8
	"1986"	"1986"	"85+ years"	"85+"	18140	138406	13106.4
	"1986"	"1986"	"Not Stated"	"NS"	61	Not Applicable	Not Applicable
"Total"	"1986"	"1986"			113112	15272001	740.6
	"1987"	"1987"	"< 1 year"	"1"	5070	301307	1682.7
	"1987"	"1987"	"1-4 years"	"1-4"	786	1061442	74.1
	"1987"	"1987"	"5-9 years"	"5-9"	364	1313459	27.7
	"1987"	"1987"	"10-14 years"	"10-14"	290	1243928	23.3
	"1987"	"1987"	"15-19 years"	"15-19"	678	1373503	49.4
	"1987"	"1987"	"20-24 years"	"20-24"	1231	1429785	86.1
	"1987"	"1987"	"25-34 years"	"25-34"	4282	2819525	151.9
	"1987"	"1987"	"35-44 years"	"35-44"	5889	2007211	293.4
	"1987"	"1987"	"45-54 years"	"45-54"	8887	1335660	665.4
	"1987"	"1987"	"55-64 years"	"55-64"	16820	1132561	1485.1
	"1987"	"1987"	"65-74 years"	"65-74"	25037	853516	2933.4
	"1987"	"1987"	"75-84 years"	"75-84"	27164	460117	5903.7
	"1987"	"1987"	"85+ years"	"85+"	18716	143785	13016.7
	"1987"	"1987"	"Not Stated"	"NS"	49	Not Applicable	Not Applicable
"Total"	"1987"	"1987"			115263	15475799	744.8
	"1988"	"1988"	"< 1 year"	"1"	5337	314067	1699.3
	"1988"	"1988"	"1-4 years"	"1-4"	768	1078660	71.2
	"1988"	"1988"	"5-9 years"	"5-9"	405	1333672	30.4
	"1988"	"1988"	"10-14 years"	"10-14"	386	1248903	30.9
	"1988"	"1988"	"15-19 years"	"15-19"	686	1368872	50.1
	"1988"	"1988"	"20-24 years"	"20-24"	1233	1401680	88.0
	"1988"	"1988"	"25-34 years"	"25-34"	4518	2863446	157.8
	"1988"	"1988"	"35-44 years"	"35-44"	6382	2094392	304.7
	"1988"	"1988"	"45-54 years"	"45-54"	8951	1366071	655.2
	"1988"	"1988"	"55-64 years"	"55-64"	17146	1133389	1512.8
	"1988"	"1988"	"65-74 years"	"65-74"	25472	864317	2947.1
	"1988"	"1988"	"75-84 years"	"75-84"	28399	473745	5994.6
	"1988"	"1988"	"85+ years"	"85+"	20057	148679	13490.1
	"1988"	"1988"	"Not Stated"	"NS"	51	Not Applicable	Not Applicable
"Total"	"1988"	"1988"			119791	15689893	763.5
	"1989"	"1989"	"< 1 year"	"1"	5685	331408	1715.4
	"1989"	"1989"	"1-4 years"	"1-4"	809	1109504	72.9
	"1989"	"1989"	"5-9 years"	"5-9"	394	1336826	29.5
	"1989"	"1989"	"10-14 years"	"10-14"	364	1275682	28.5
	"1989"	"1989"	"15-19 years"	"15-19"	664	1350929	49.2
	"1989"	"1989"	"20-24 years"	"20-24"	1191	1374909	86.6
	"1989"	"1989"	"25-34 years"	"25-34"	4657	2891548	161.1
	"1989"	"1989"	"35-44 years"	"35-44"	6554	2194611	298.6
	"1989"	"1989"	"45-54 years"	"45-54"	8936	1395290	640.4
	"1989"	"1989"	"55-64 years"	"55-64"	16734	1132167	1478.1
	"1989"	"1989"	"65-74 years"	"65-74"	25719	875768	2936.7
	"1989"	"1989"	"75-84 years"	"75-84"	28821	486088	5929.2
	"1989"	"1989"	"85+ years"	"85+"	20669	153437	13470.7
	"1989"	"1989"	"Not Stated"	"NS"	52	Not Applicable	Not Applicable
"Total"	"1989"	"1989"			121249	15908167	762.2
	"1990"	"1990"	"< 1 year"	"1"	5479	337254	1624.6
	"1990"	"1990"	"1-4 years"	"1-4"	769	1137412	67.6
	"1990"	"1990"	"5-9 years"	"5-9"	364	1339798	27.2
	"1990"	"1990"	"10-14 years"	"10-14"	362	1301212	27.8
	"1990"	"1990"	"15-19 years"	"15-19"	730	1343940	54.3
	"1990"	"1990"	"20-24 years"	"20-24"	1125	1355862	83.0
	"1990"	"1990"	"25-34 years"	"25-34"	4634	2904769	159.5
	"1990"	"1990"	"35-44 years"	"35-44"	6804	2278832	298.6
	"1990"	"1990"	"45-54 years"	"45-54"	9052	1415642	639.4
	"1990"	"1990"	"55-64 years"	"55-64"	16480	1134501	1452.6
	"1990"	"1990"	"65-74 years"	"65-74"	25337	884151	2865.7
	"1990"	"1990"	"75-84 years"	"75-84"	28144	494772	5688.3
	"1990"	"1990"	"85+ years"	"85+"	20811	156362	13309.5
	"1990"	"1990"	"Not Stated"	"NS"	48	Not Applicable	Not Applicable
"Total"	"1990"	"1990"			120139	16084507	746.9
	"1991"	"1991"	"< 1 year"	"1"	5280	336147	1570.7
	"1991"	"1991"	"1-4 years"	"1-4"	847	1204325	70.3
	"1991"	"1991"	"5-9 years"	"5-9"	374	1376295	27.2
	"1991"	"1991"	"10-14 years"	"10-14"	323	1357517	23.8
	"1991"	"1991"	"15-19 years"	"15-19"	684	1315495	52.0
	"1991"	"1991"	"20-24 years"	"20-24"	1254	1370413	91.5
	"1991"	"1991"	"25-34 years"	"25-34"	4621	2935364	157.4
	"1991"	"1991"	"35-44 years"	"35-44"	7358	2431756	302.6
	"1991"	"1991"	"45-54 years"	"45-54"	9219	1460229	631.3
	"1991"	"1991"	"55-64 years"	"55-64"	15998	1142772	1399.9
	"1991"	"1991"	"65-74 years"	"65-74"	25830	898586	2874.5
	"1991"	"1991"	"75-84 years"	"75-84"	28765	505286	5692.8
	"1991"	"1991"	"85+ years"	"85+"	21612	167928	12869.8
	"1991"	"1991"	"Not Stated"	"NS"	29	Not Applicable	Not Applicable
"Total"	"1991"	"1991"			122194	16502113	740.5
	"1992"	"1992"	"< 1 year"	"1"	5050	330907	1526.1
	"1992"	"1992"	"1-4 years"	"1-4"	834	1249382	66.8
	"1992"	"1992"	"5-9 years"	"5-9"	365	1408735	25.9
	"1992"	"1992"	"10-14 years"	"10-14"	349	1393716	25.0
	"1992"	"1992"	"15-19 years"	"15-19"	660	1318601	50.1
	"1992"	"1992"	"20-24 years"	"20-24"	1153	1383482	83.3
	"1992"	"1992"	"25-34 years"	"25-34"	4617	2938265	157.1
	"1992"	"1992"	"35-44 years"	"35-44"	7921	2529967	313.1
	"1992"	"1992"	"45-54 years"	"45-54"	9491	1537181	617.4
	"1992"	"1992"	"55-64 years"	"55-64"	16192	1150376	1407.5
	"1992"	"1992"	"65-74 years"	"65-74"	25609	909778	2814.9
	"1992"	"1992"	"75-84 years"	"75-84"	28100	514433	5462.3
