"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1984"	"1984"	"35-44 years"	"35-44"	2319	13236389	17.5
	"1984"	"1984"	"45-54 years"	"45-54"	4514	9910332	45.5
	"1984"	"1984"	"55-64 years"	"55-64"	8609	10422781	82.6
	"1984"	"1984"	"65-74 years"	"65-74"	9283	8436935	110.0
	"1984"	"1984"	"75-84 years"	"75-84"	6822	4975913	137.1
	"1984"	"1984"	"85+ years"	"85+"	3156	1702826	185.3
	"1984"	"1984"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
"Total"	"1984"	"1984"			35256	102783231	34.3
	"1985"	"1985"	"< 1 year"	"1"	2	1477571	0.1 (Unreliable)
	"1985"	"1985"	"1-4 years"	"1-4"	0	5598882	0.0 (Unreliable)
	"1985"	"1985"	"5-9 years"	"5-9"	0	6574337	0.0 (Unreliable)
	"1985"	"1985"	"10-14 years"	"10-14"	0	6713690	0.0 (Unreliable)
	"1985"	"1985"	"15-19 years"	"15-19"	0	7500794	0.0 (Unreliable)
	"1985"	"1985"	"20-24 years"	"20-24"	13	8734979	0.1 (Unreliable)
	"1985"	"1985"	"25-34 years"	"25-34"	496	17434546	2.8
	"1985"	"1985"	"35-44 years"	"35-44"	2307	13699109	16.8
	"1985"	"1985"	"45-54 years"	"45-54"	4639	9909290	46.8
	"1985"	"1985"	"55-64 years"	"55-64"	8787	10377680	84.7
	"1985"	"1985"	"65-74 years"	"65-74"	9380	8536282	109.9
	"1985"	"1985"	"75-84 years"	"75-84"	7082	5104060	138.8
	"1985"	"1985"	"85+ years"	"85+"	3177	1755561	181.0
	"1985"	"1985"	"Not Stated"	"NS"	3	Not Applicable	Not Applicable
"Total"	"1985"	"1985"			35886	103416781	34.7
	"1986"	"1986"	"< 1 year"	"1"	0	1470406	0.0 (Unreliable)
	"1986"	"1986"	"1-4 years"	"1-4"	0	5626960	0.0 (Unreliable)
	"1986"	"1986"	"5-9 years"	"5-9"	1	6732733	0.0 (Unreliable)
