"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1968"	"1968"	"< 1 year"	"1"	23167	1421634	1629.6
	"1968"	"1968"	"1-4 years"	"1-4"	4221	5999000	70.4
	"1968"	"1968"	"5-9 years"	"5-9"	2913	8498000	34.3
	"1968"	"1968"	"10-14 years"	"10-14"	2412	8518000	28.3
	"1968"	"1968"	"15-19 years"	"15-19"	4431	7767000	57.0
	"1968"	"1968"	"20-24 years"	"20-24"	4417	6867000	64.3
	"1968"	"1968"	"25-34 years"	"25-34"	8732	10543000	82.8
	"1968"	"1968"	"35-44 years"	"35-44"	21044	10651000	197.6
	"1968"	"1968"	"45-54 years"	"45-54"	49561	10533000	470.5
	"1968"	"1968"	"55-64 years"	"55-64"	88557	8610000	1028.5
	"1968"	"1968"	"65-74 years"	"65-74"	159097	6208000	2562.8
	"1968"	"1968"	"75-84 years"	"75-84"	230180	3290000	6996.4
	"1968"	"1968"	"85+ years"	"85+"	139490	739000	18875.5
	"1968"	"1968"	"Not Stated"	"NS"	183	Not Applicable	Not Applicable
"Total"	"1968"	"1968"			738405	89644634	823.7
	"1969"	"1969"	"< 1 year"	"1"	22950	1462384	1569.4
	"1969"	"1969"	"1-4 years"	"1-4"	4078	5742000	71.0
	"1969"	"1969"	"5-9 years"	"5-9"	2829	8407000	33.7
	"1969"	"1969"	"10-14 years"	"10-14"	2519	8615000	29.2
	"1969"	"1969"	"15-19 years"	"15-19"	4615	7936000	58.2
	"1969"	"1969"	"20-24 years"	"20-24"	4690	7144000	65.6
	"1969"	"1969"	"25-34 years"	"25-34"	9109	10847000	84.0
	"1969"	"1969"	"35-44 years"	"35-44"	20780	10471000	198.5
	"1969"	"1969"	"45-54 years"	"45-54"	48753	10679000	456.5
	"1969"	"1969"	"55-64 years"	"55-64"	87866	8761000	1002.9
	"1969"	"1969"	"65-74 years"	"65-74"	157438	6289000	2503.4
	"1969"	"1969"	"75-84 years"	"75-84"	230098	3385000	6797.6
	"1969"	"1969"	"85+ years"	"85+"	142338	783000	18178.5
	"1969"	"1969"	"Not Stated"	"NS"	179	Not Applicable	Not Applicable
"Total"	"1969"	"1969"			738242	90521384	815.5
	"1970"	"1970"	"< 1 year"	"1"	23151	1510276	1532.9
	"1970"	"1970"	"1-4 years"	"1-4"	3714	5614968	66.1
	"1970"	"1970"	"5-9 years"	"5-9"	2646	8264333	32.0
	"1970"	"1970"	"10-14 years"	"10-14"	2410	8647392	27.9
	"1970"	"1970"	"15-19 years"	"15-19"	4672	8079090	57.8
	"1970"	"1970"	"20-24 years"	"20-24"	4826	7341007	65.7
	"1970"	"1970"	"25-34 years"	"25-34"	9259	11004490	84.1
	"1970"	"1970"	"35-44 years"	"35-44"	20004	10348829	193.3
	"1970"	"1970"	"45-54 years"	"45-54"	49793	10756325	462.9
	"1970"	"1970"	"55-64 years"	"55-64"	89850	8853048	1014.9
	"1970"	"1970"	"65-74 years"	"65-74"	157278	6365611	2470.7
	"1970"	"1970"	"75-84 years"	"75-84"	229712	3429201	6698.7
	"1970"	"1970"	"85+ years"	"85+"	142201	889855	15980.2
	"1970"	"1970"	"Not Stated"	"NS"	143	Not Applicable	Not Applicable
"Total"	"1970"	"1970"			739659	91104425	811.9
	"1971"	"1971"	"< 1 year"	"1"	20888	1429588	1461.1
	"1971"	"1971"	"1-4 years"	"1-4"	3705	5613000	66.0
	"1971"	"1971"	"5-9 years"	"5-9"	2645	8014000	33.0
	"1971"	"1971"	"10-14 years"	"10-14"	2485	8773000	28.3
	"1971"	"1971"	"15-19 years"	"15-19"	4785	8330000	57.4
	"1971"	"1971"	"20-24 years"	"20-24"	4920	7827000	62.9
	"1971"	"1971"	"25-34 years"	"25-34"	9399	11369000	82.7
	"1971"	"1971"	"35-44 years"	"35-44"	19431	10232000	189.9
	"1971"	"1971"	"45-54 years"	"45-54"	49009	10885000	450.2
	"1971"	"1971"	"55-64 years"	"55-64"	90441	9051000	999.2
	"1971"	"1971"	"65-74 years"	"65-74"	155010	6505000	2382.9
	"1971"	"1971"	"75-84 years"	"75-84"	233363	3599000	6484.1
	"1971"	"1971"	"85+ years"	"85+"	151159	904000	16721.1
	"1971"	"1971"	"Not Stated"	"NS"	194	Not Applicable	Not Applicable
"Total"	"1971"	"1971"			747434	92531588	807.8
	"1972"	"1972"	"< 1 year"	"1"	18038	1300911	1386.6
	"1972"	"1972"	"1-4 years"	"1-4"	3588	5657000	63.4
	"1972"	"1972"	"5-9 years"	"5-9"	2566	7768000	33.0
	"1972"	"1972"	"10-14 years"	"10-14"	2508	8758000	28.6
	"1972"	"1972"	"15-19 years"	"15-19"	4940	8516000	58.0
	"1972"	"1972"	"20-24 years"	"20-24"	4970	7772000	63.9
	"1972"	"1972"	"25-34 years"	"25-34"	9722	12096000	80.4
	"1972"	"1972"	"35-44 years"	"35-44"	19014	10148000	187.4
	"1972"	"1972"	"45-54 years"	"45-54"	48600	10947000	444.0
	"1972"	"1972"	"55-64 years"	"55-64"	91250	9177000	994.3
	"1972"	"1972"	"65-74 years"	"65-74"	160066	6641000	2410.3
	"1972"	"1972"	"75-84 years"	"75-84"	240490	3704000	6492.7
	"1972"	"1972"	"85+ years"	"85+"	158078	944000	16745.6
	"1972"	"1972"	"Not Stated"	"NS"	120	Not Applicable	Not Applicable
"Total"	"1972"	"1972"			763950	93428911	817.7
	"1973"	"1973"	"< 1 year"	"1"	16825	1250159	1345.8
	"1973"	"1973"	"1-4 years"	"1-4"	3481	5607000	62.1
	"1973"	"1973"	"5-9 years"	"5-9"	2425	7513000	32.3
	"1973"	"1973"	"10-14 years"	"10-14"	2425	8705000	27.9
	"1973"	"1973"	"15-19 years"	"15-19"	4987	8668000	57.5
	"1973"	"1973"	"20-24 years"	"20-24"	4888	7898000	61.9
	"1973"	"1973"	"25-34 years"	"25-34"	9929	12650000	78.5
	"1973"	"1973"	"35-44 years"	"35-44"	18414	10099000	182.3
	"1973"	"1973"	"45-54 years"	"45-54"	48263	10983000	439.4
	"1973"	"1973"	"55-64 years"	"55-64"	91967	9286000	990.4
