"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1968"	"1968"	"< 1 year"	"1"	2	1421634	0.1 (Unreliable)
	"1968"	"1968"	"1-4 years"	"1-4"	1	5999000	0.0 (Unreliable)
	"1968"	"1968"	"5-9 years"	"5-9"	0	8498000	0.0 (Unreliable)
	"1968"	"1968"	"10-14 years"	"10-14"	1	8518000	0.0 (Unreliable)
	"1968"	"1968"	"15-19 years"	"15-19"	3	7767000	0.0 (Unreliable)
	"1968"	"1968"	"20-24 years"	"20-24"	8	6867000	0.1 (Unreliable)
	"1968"	"1968"	"25-34 years"	"25-34"	378	10543000	3.6
	"1968"	"1968"	"35-44 years"	"35-44"	2184	10651000	20.5
	"1968"	"1968"	"45-54 years"	"45-54"	5583	10533000	53.0
	"1968"	"1968"	"55-64 years"	"55-64"	6704	8610000	77.9
	"1968"	"1968"	"65-74 years"	"65-74"	5938	6208000	95.7
	"1968"	"1968"	"75-84 years"	"75-84"	4160	3290000	126.4
	"1968"	"1968"	"85+ years"	"85+"	1353	739000	183.1
	"1968"	"1968"	"Not Stated"	"NS"	6	Not Applicable	Not Applicable
"Total"	"1968"	"1968"			26321	89644634	29.4
	"1969"	"1969"	"< 1 year"	"1"	0	1462384	0.0 (Unreliable)
	"1969"	"1969"	"1-4 years"	"1-4"	0	5742000	0.0 (Unreliable)
	"1969"	"1969"	"5-9 years"	"5-9"	0	8407000	0.0 (Unreliable)
	"1969"	"1969"	"10-14 years"	"10-14"	1	8615000	0.0 (Unreliable)
	"1969"	"1969"	"15-19 years"	"15-19"	1	7936000	0.0 (Unreliable)
	"1969"	"1969"	"20-24 years"	"20-24"	13	7144000	0.2 (Unreliable)
	"1969"	"1969"	"25-34 years"	"25-34"	341	10847000	3.1
	"1969"	"1969"	"35-44 years"	"35-44"	2059	10471000	19.7
	"1969"	"1969"	"45-54 years"	"45-54"	5535	10679000	51.8
	"1969"	"1969"	"55-64 years"	"55-64"	6916	8761000	78.9
	"1969"	"1969"	"65-74 years"	"65-74"	5931	6289000	94.3
	"1969"	"1969"	"75-84 years"	"75-84"	4150	3385000	122.6
	"1969"	"1969"	"85+ years"	"85+"	1386	783000	177.0
	"1969"	"1969"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
"Total"	"1969"	"1969"			26334	90521384	29.1
	"1970"	"1970"	"< 1 year"	"1"	0	1510276	0.0 (Unreliable)
	"1970"	"1970"	"1-4 years"	"1-4"	0	5614968	0.0 (Unreliable)
	"1970"	"1970"	"5-9 years"	"5-9"	0	8264333	0.0 (Unreliable)
	"1970"	"1970"	"10-14 years"	"10-14"	0	8647392	0.0 (Unreliable)
	"1970"	"1970"	"15-19 years"	"15-19"	0	8079090	0.0 (Unreliable)
	"1970"	"1970"	"20-24 years"	"20-24"	12	7341007	0.2 (Unreliable)
	"1970"	"1970"	"25-34 years"	"25-34"	403	11004490	3.7
	"1970"	"1970"	"35-44 years"	"35-44"	2088	10348829	20.2
	"1970"	"1970"	"45-54 years"	"45-54"	5706	10756325	53.0
