"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1984"	"1984"	"Not Stated"	"NS"	118	Not Applicable	Not Applicable
"Total"	"1984"	"1984"			847368	102783231	824.4
	"1985"	"1985"	"< 1 year"	"1"	11646	1477571	788.2
	"1985"	"1985"	"1-4 years"	"1-4"	2240	5598882	40.0
	"1985"	"1985"	"5-9 years"	"5-9"	1273	6574337	19.4
	"1985"	"1985"	"10-14 years"	"10-14"	1324	6713690	19.7
	"1985"	"1985"	"15-19 years"	"15-19"	3497	7500794	46.6
	"1985"	"1985"	"20-24 years"	"20-24"	4311	8734979	49.4
	"1985"	"1985"	"25-34 years"	"25-34"	10361	17434546	59.4
	"1985"	"1985"	"35-44 years"	"35-44"	16701	13699109	121.9
	"1985"	"1985"	"45-54 years"	"45-54"	33857	9909290	341.7
	"1985"	"1985"	"55-64 years"	"55-64"	90199	10377680	869.2
	"1985"	"1985"	"65-74 years"	"65-74"	173037	8536282	2027.1
	"1985"	"1985"	"75-84 years"	"75-84"	260898	5104060	5111.6
	"1985"	"1985"	"85+ years"	"85+"	258930	1755561	14749.1
	"1985"	"1985"	"Not Stated"	"NS"	325	Not Applicable	Not Applicable
"Total"	"1985"	"1985"			868599	103416781	839.9
	"1986"	"1986"	"< 1 year"	"1"	11280	1470406	767.1
	"1986"	"1986"	"1-4 years"	"1-4"	2307	5626960	41.0
	"1986"	"1986"	"5-9 years"	"5-9"	1184	6732733	17.6
	"1986"	"1986"	"10-14 years"	"10-14"	1289	6470841	19.9
	"1986"	"1986"	"15-19 years"	"15-19"	3655	7509098	48.7
	"1986"	"1986"	"20-24 years"	"20-24"	4340	8456376	51.3
	"1986"	"1986"	"25-34 years"	"25-34"	10776	17655853	61.0
	"1986"	"1986"	"35-44 years"	"35-44"	17340	14207002	122.1
	"1986"	"1986"	"45-54 years"	"45-54"	33156	9963049	332.8
	"1986"	"1986"	"55-64 years"	"55-64"	88322	10277575	859.4
	"1986"	"1986"	"65-74 years"	"65-74"	175897	8657219	2031.8
	"1986"	"1986"	"75-84 years"	"75-84"	263913	5232039	5044.2
	"1986"	"1986"	"85+ years"	"85+"	264678	1806892	14648.2
	"1986"	"1986"	"Not Stated"	"NS"	392	Not Applicable	Not Applicable
"Total"	"1986"	"1986"			878529	104066043	844.2
	"1987"	"1987"	"< 1 year"	"1"	11047	1482248	745.3
	"1987"	"1987"	"1-4 years"	"1-4"	2311	5648110	40.9
	"1987"	"1987"	"5-9 years"	"5-9"	1243	6852369	18.1
	"1987"	"1987"	"10-14 years"	"10-14"	1151	6416463	17.9
	"1987"	"1987"	"15-19 years"	"15-19"	3581	7421397	48.3
	"1987"	"1987"	"20-24 years"	"20-24"	4022	8183032	49.2
	"1987"	"1987"	"25-34 years"	"25-34"	11277	17790310	63.4
	"1987"	"1987"	"35-44 years"	"35-44"	17631	14673921	120.2
	"1987"	"1987"	"45-54 years"	"45-54"	33273	10127527	328.5
	"1987"	"1987"	"55-64 years"	"55-64"	86566	10120665	855.3
	"1987"	"1987"	"65-74 years"	"65-74"	175920	8785358	2002.4
	"1987"	"1987"	"75-84 years"	"75-84"	268175	5362682	5000.8
	"1987"	"1987"	"85+ years"	"85+"	273368	1861948	14681.8
	"1987"	"1987"	"Not Stated"	"NS"	120	Not Applicable	Not Applicable
"Total"	"1987"	"1987"			889685	104726030	849.5
	"1988"	"1988"	"< 1 year"	"1"	11047	1511022	731.1
	"1988"	"1988"	"1-4 years"	"1-4"	2307	5666103	40.7
	"1988"	"1988"	"5-9 years"	"5-9"	1304	6966508	18.7
	"1988"	"1988"	"10-14 years"	"10-14"	1212	6455884	18.8
	"1988"	"1988"	"15-19 years"	"15-19"	3505	7296706	48.0
	"1988"	"1988"	"20-24 years"	"20-24"	3913	7917099	49.4
	"1988"	"1988"	"25-34 years"	"25-34"	11187	17850078	62.7
	"1988"	"1988"	"35-44 years"	"35-44"	18021	15004788	120.1
	"1988"	"1988"	"45-54 years"	"45-54"	33626	10495138	320.4
	"1988"	"1988"	"55-64 years"	"55-64"	85595	9967865	858.7
	"1988"	"1988"	"65-74 years"	"65-74"	176975	8867364	1995.8
	"1988"	"1988"	"75-84 years"	"75-84"	276417	5484072	5040.4
	"1988"	"1988"	"85+ years"	"85+"	286264	1905976	15019.3
	"1988"	"1988"	"Not Stated"	"NS"	114	Not Applicable	Not Applicable
"Total"	"1988"	"1988"			911487	105388603	864.9
	"1989"	"1989"	"< 1 year"	"1"	11034	1554761	709.7
	"1989"	"1989"	"1-4 years"	"1-4"	2223	5724368	38.8
	"1989"	"1989"	"5-9 years"	"5-9"	1323	7018777	18.8
	"1989"	"1989"	"10-14 years"	"10-14"	1256	6559858	19.1
	"1989"	"1989"	"15-19 years"	"15-19"	3495	7108344	49.2
	"1989"	"1989"	"20-24 years"	"20-24"	3672	7708877	47.6
	"1989"	"1989"	"25-34 years"	"25-34"	11252	17829834	63.1
	"1989"	"1989"	"35-44 years"	"35-44"	18321	15456765	118.5
	"1989"	"1989"	"45-54 years"	"45-54"	33501	10780038	310.8
	"1989"	"1989"	"55-64 years"	"55-64"	82017	9793451	837.5
	"1989"	"1989"	"65-74 years"	"65-74"	174745	8967877	1948.6
	"1989"	"1989"	"75-84 years"	"75-84"	275191	5604412	4910.3
	"1989"	"1989"	"85+ years"	"85+"	284856	1961458	14522.7
	"1989"	"1989"	"Not Stated"	"NS"	103	Not Applicable	Not Applicable
"Total"	"1989"	"1989"			902989	106068820	851.3
	"1990"	"1990"	"< 1 year"	"1"	10512	1602185	656.1
	"1990"	"1990"	"1-4 years"	"1-4"	2082	5761780	36.1
	"1990"	"1990"	"5-9 years"	"5-9"	1199	7058274	17.0
	"1990"	"1990"	"10-14 years"	"10-14"	1253	6647468	18.8
	"1990"	"1990"	"15-19 years"	"15-19"	3163	6971165	45.4
	"1990"	"1990"	"20-24 years"	"20-24"	3537	7627737	46.4
	"1990"	"1990"	"25-34 years"	"25-34"	10924	17756776	61.5
	"1990"	"1990"	"35-44 years"	"35-44"	18589	15834123	117.4
	"1990"	"1990"	"45-54 years"	"45-54"	33862	10946272	309.3
	"1990"	"1990"	"55-64 years"	"55-64"	79784	9698092	822.7
	"1990"	"1990"	"65-74 years"	"65-74"	174036	9047655	1923.5
	"1990"	"1990"	"75-84 years"	"75-84"	275219	5687364	4839.1
	"1990"	"1990"	"85+ years"	"85+"	288175	2001136	14400.6
	"1990"	"1990"	"Not Stated"	"NS"	107	Not Applicable	Not Applicable
"Total"	"1990"	"1990"			902442	106640027	846.3
	"1991"	"1991"	"< 1 year"	"1"	9961	1582196	629.6
	"1991"	"1991"	"1-4 years"	"1-4"	2210	5875294	37.6
	"1991"	"1991"	"5-9 years"	"5-9"	1206	7130320	16.9
	"1991"	"1991"	"10-14 years"	"10-14"	1199	6898264	17.4
	"1991"	"1991"	"15-19 years"	"15-19"	3126	6697113	46.7
	"1991"	"1991"	"20-24 years"	"20-24"	3529	7640454	46.2
	"1991"	"1991"	"25-34 years"	"25-34"	10836	17667493	61.3
	"1991"	"1991"	"35-44 years"	"35-44"	19405	16555202	117.2
	"1991"	"1991"	"45-54 years"	"45-54"	34332	11244662	305.3
	"1991"	"1991"	"55-64 years"	"55-64"	78783	9604393	820.3
	"1991"	"1991"	"65-74 years"	"65-74"	174237	9131275	1908.1
	"1991"	"1991"	"75-84 years"	"75-84"	276944	5844539	4738.5
	"1991"	"1991"	"85+ years"	"85+"	296531	2113777	14028.5
	"1991"	"1991"	"Not Stated"	"NS"	108	Not Applicable	Not Applicable
"Total"	"1991"	"1991"			912407	107984982	844.9
	"1992"	"1992"	"< 1 year"	"1"	9539	1559867	611.5
	"1992"	"1992"	"1-4 years"	"1-4"	1995	5983543	33.3
	"1992"	"1992"	"5-9 years"	"5-9"	1085	7162539	15.1
	"1992"	"1992"	"10-14 years"	"10-14"	1206	7075192	17.0
	"1992"	"1992"	"15-19 years"	"15-19"	2868	6668378	43.0
	"1992"	"1992"	"20-24 years"	"20-24"	3337	7564612	44.1
	"1992"	"1992"	"25-34 years"	"25-34"	10466	17478973	59.9
	"1992"	"1992"	"35-44 years"	"35-44"	19597	16723220	117.2
	"1992"	"1992"	"45-54 years"	"45-54"	35116	11989079	292.9
	"1992"	"1992"	"55-64 years"	"55-64"	75927	9530399	796.7
	"1992"	"1992"	"65-74 years"	"65-74"	175205	9191380	1906.2
	"1992"	"1992"	"75-84 years"	"75-84"	278839	5949314	4686.9
	"1992"	"1992"	"85+ years"	"85+"	301565	2195625	13734.8
	"1992"	"1992"	"Not Stated"	"NS"	79	Not Applicable	Not Applicable
"Total"	"1992"	"1992"			916824	109072121	840.6
	"1993"	"1993"	"< 1 year"	"1"	9275	1533501	604.8
	"1993"	"1993"	"1-4 years"	"1-4"	2046	6072481	33.7
	"1993"	"1993"	"5-9 years"	"5-9"	1201	7211778	16.7
	"1993"	"1993"	"10-14 years"	"10-14"	1285	7245204	17.7
	"1993"	"1993"	"15-19 years"	"15-19"	2982	6749044	44.2
	"1993"	"1993"	"20-24 years"	"20-24"	3273	7448399	43.9
	"1993"	"1993"	"25-34 years"	"25-34"	10672	17252941	61.9
	"1993"	"1993"	"35-44 years"	"35-44"	20494	17047069	120.2
	"1993"	"1993"	"45-54 years"	"45-54"	37007	12532210	295.3
	"1993"	"1993"	"55-64 years"	"55-64"	76680	9494874	807.6
	"1993"	"1993"	"65-74 years"	"65-74"	178706	9249270	1932.1
	"1993"	"1993"	"75-84 years"	"75-84"	290836	6044328	4811.7
	"1993"	"1993"	"85+ years"	"85+"	328566	2279874	14411.6
	"1993"	"1993"	"Not Stated"	"NS"	85	Not Applicable	Not Applicable
"Total"	"1993"	"1993"			963108	110160973	874.3
	"1994"	"1994"	"< 1 year"	"1"	8960	1521401	588.9
	"1994"	"1994"	"1-4 years"	"1-4"	1977	6096502	32.4
	"1994"	"1994"	"5-9 years"	"5-9"	1100	7317770	15.0
	"1994"	"1994"	"10-14 years"	"10-14"	1262	7345293	17.2
	"1994"	"1994"	"15-19 years"	"15-19"	2945	6890176	42.7
	"1994"	"1994"	"20-24 years"	"20-24"	3251	7275679	44.7
	"1994"	"1994"	"25-34 years"	"25-34"	10692	17057964	62.7
	"1994"	"1994"	"35-44 years"	"35-44"	21073	17367855	121.3
	"1994"	"1994"	"45-54 years"	"45-54"	38525	13049744	295.2
	"1994"	"1994"	"55-64 years"	"55-64"	74988	9513437	788.2
	"1994"	"1994"	"65-74 years"	"65-74"	177848	9254450	1921.8
	"1994"	"1994"	"75-84 years"	"75-84"	293381	6137562	4780.1
	"1994"	"1994"	"85+ years"	"85+"	334979	2351953	14242.6
	"1994"	"1994"	"Not Stated"	"NS"	71	Not Applicable	Not Applicable
"Total"	"1994"	"1994"			971052	111179786	873.4
	"1995"	"1995"	"< 1 year"	"1"	8387	1510458	555.3
	"1995"	"1995"	"1-4 years"	"1-4"	1889	6038803	31.3
	"1995"	"1995"	"5-9 years"	"5-9"	1112	7440124	14.9
	"1995"	"1995"	"10-14 years"	"10-14"	1335	7418207	18.0
	"1995"	"1995"	"15-19 years"	"15-19"	3084	7062318	43.7
	"1995"	"1995"	"20-24 years"	"20-24"	3102	7096032	43.7
	"1995"	"1995"	"25-34 years"	"25-34"	10620	16875115	62.9
	"1995"	"1995"	"35-44 years"	"35-44"	22190	17686020	125.5
	"1995"	"1995"	"45-54 years"	"45-54"	39624	13574568	291.9
	"1995"	"1995"	"55-64 years"	"55-64"	74796	9548153	783.4
	"1995"	"1995"	"65-74 years"	"65-74"	176847	9243329	1913.2
	"1995"	"1995"	"75-84 years"	"75-84"	297994	6240344	4775.3
	"1995"	"1995"	"85+ years"	"85+"	349084	2423216	14405.8
	"1995"	"1995"	"Not Stated"	"NS"	96	Not Applicable	Not Applicable
"Total"	"1995"	"1995"			990160	112156687	882.8
	"1996"	"1996"	"< 1 year"	"1"	8200	1508634	543.5
	"1996"	"1996"	"1-4 years"	"1-4"	1706	5963489	28.6
	"1996"	"1996"	"5-9 years"	"5-9"	1127	7568233	14.9
	"1996"	"1996"	"10-14 years"	"10-14"	1297	7492096	17.3
	"1996"	"1996"	"15-19 years"	"15-19"	3064	7258062	42.2
	"1996"	"1996"	"20-24 years"	"20-24"	2890	6900199	41.9
	"1996"	"1996"	"25-34 years"	"25-34"	10175	16693415	61.0
	"1996"	"1996"	"35-44 years"	"35-44"	21836	17985735	121.4
	"1996"	"1996"	"45-54 years"	"45-54"	40520	14089331	287.6
	"1996"	"1996"	"55-64 years"	"55-64"	74453	9632190	773.0
	"1996"	"1996"	"65-74 years"	"65-74"	174564	9176514	1902.3
	"1996"	"1996"	"75-84 years"	"75-84"	302756	6370429	4752.5
	"1996"	"1996"	"85+ years"	"85+"	358287	2490781	14384.5
	"1996"	"1996"	"Not Stated"	"NS"	107	Not Applicable	Not Applicable
"Total"	"1996"	"1996"			1000982	113129108	884.8
	"1997"	"1997"	"< 1 year"	"1"	8036	1499018	536.1
	"1997"	"1997"	"1-4 years"	"1-4"	1656	5893585	28.1
	"1997"	"1997"	"5-9 years"	"5-9"	1075	7691675	14.0
	"1997"	"1997"	"10-14 years"	"10-14"	1252	7537853	16.6
	"1997"	"1997"	"15-19 years"	"15-19"	3130	7429588	42.1
	"1997"	"1997"	"20-24 years"	"20-24"	3023	6895088	43.8
	"1997"	"1997"	"25-34 years"	"25-34"	9512	16413044	58.0
	"1997"	"1997"	"35-44 years"	"35-44"	21963	18204085	120.6
	"1997"	"1997"	"45-54 years"	"45-54"	41204	14629907	281.6
	"1997"	"1997"	"55-64 years"	"55-64"	74544	9825384	758.7
	"1997"	"1997"	"65-74 years"	"65-74"	170297	9056590	1880.4
	"1997"	"1997"	"75-84 years"	"75-84"	305728	6496866	4705.8
	"1997"	"1997"	"85+ years"	"85+"	368037	2553020	14415.8
	"1997"	"1997"	"Not Stated"	"NS"	52	Not Applicable	Not Applicable
"Total"	"1997"	"1997"			1009509	114125703	884.6
	"1998"	"1998"	"< 1 year"	"1"	8234	1522023	541.0
	"1998"	"1998"	"1-4 years"	"1-4"	1618	5858932	27.6
	"1998"	"1998"	"5-9 years"	"5-9"	1032	7764365	13.3
	"1998"	"1998"	"10-14 years"	"10-14"	1228	7599325	16.2
	"1998"	"1998"	"15-19 years"	"15-19"	3079	7586393	40.6
	"1998"	"1998"	"20-24 years"	"20-24"	2838	6986138	40.6
	"1998"	"1998"	"25-34 years"	"25-34"	9093	16089859	56.5
	"1998"	"1998"	"35-44 years"	"35-44"	22380	18349615	122.0
	"1998"	"1998"	"45-54 years"	"45-54"	41244	15006729	274.8
	"1998"	"1998"	"55-64 years"	"55-64"	74901	10217829	733.0
	"1998"	"1998"	"65-74 years"	"65-74"	169360	8946339	1893.1
	"1998"	"1998"	"75-84 years"	"75-84"	310588	6577689	4721.8
	"1998"	"1998"	"85+ years"	"85+"	380140	2621858	14498.9
	"1998"	"1998"	"Not Stated"	"NS"	59	Not Applicable	Not Applicable
"Total"	"1998"	"1998"			1025794	115127094	891.0
"Total"					18011064	2129444680	845.8
"---"
"Dataset: Compressed Mortality, 1979-1998"
"Query Parameters:"
"Gender: Female"
"Race: White"
"Group By: Year; Age Group"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cmf.html for more information."
"---"
"Query Date: Jun 29, 2020 1:21:38 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Compressed Mortality File"
"1979-1998. CDC WONDER On-line Database, compiled from Compressed Mortality File CMF 1968-1988, Series 20, No. 2A, 2000 and CMF"
"1989-1998, Series 20, No. 2E, 2003. Accessed at http://wonder.cdc.gov/cmf-icd9.html on Jun 29, 2020 1:21:38 PM"
"---"
Caveats:
"1. The population figures used in the calculation of death rates for the age group 'under 1 year' are the live births for the"
"given time period. More information: http://wonder.cdc.gov/wonder/help/cmf.html#Age Group."
"2. Population figures in this table for 1979 and 1981-89 are intercensal estimates of the July 1 resident population of the"
"United States. Note that the state and county population estimates for these years are not consistent with national estimates."
"The population figures in this table for 1980 and 1990 are modified age-race-sex (MARS) April 1 census counts. The population"
"figures for 1991-98 are bridged-race intercensal estimates of the July 1 resident population."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Not Stated."
