"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1968"	"1968"	"< 1 year"	"1"	0	258270	0.0 (Unreliable)
	"1968"	"1968"	"1-4 years"	"1-4"	0	1042000	0.0 (Unreliable)
	"1968"	"1968"	"5-9 years"	"5-9"	0	1390000	0.0 (Unreliable)
	"1968"	"1968"	"10-14 years"	"10-14"	0	1351000	0.0 (Unreliable)
	"1968"	"1968"	"15-19 years"	"15-19"	0	1136000	0.0 (Unreliable)
	"1968"	"1968"	"20-24 years"	"20-24"	3	878000	0.3 (Unreliable)
	"1968"	"1968"	"25-34 years"	"25-34"	79	1392000	5.7
	"1968"	"1968"	"35-44 years"	"35-44"	322	1309000	24.6
	"1968"	"1968"	"45-54 years"	"45-54"	639	1100000	58.1
	"1968"	"1968"	"55-64 years"	"55-64"	586	828000	70.8
	"1968"	"1968"	"65-74 years"	"65-74"	480	563000	85.3
	"1968"	"1968"	"75-84 years"	"75-84"	219	222000	98.6
	"1968"	"1968"	"85+ years"	"85+"	82	56000	146.4
	"1968"	"1968"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1968"	"1968"			2410	11525270	20.9
	"1969"	"1969"	"< 1 year"	"1"	0	264186	0.0 (Unreliable)
	"1969"	"1969"	"1-4 years"	"1-4"	0	1008000	0.0 (Unreliable)
	"1969"	"1969"	"5-9 years"	"5-9"	0	1387000	0.0 (Unreliable)
	"1969"	"1969"	"10-14 years"	"10-14"	0	1385000	0.0 (Unreliable)
	"1969"	"1969"	"15-19 years"	"15-19"	1	1182000	0.1 (Unreliable)
	"1969"	"1969"	"20-24 years"	"20-24"	6	931000	0.6 (Unreliable)
	"1969"	"1969"	"25-34 years"	"25-34"	78	1425000	5.5
	"1969"	"1969"	"35-44 years"	"35-44"	356	1308000	27.2
	"1969"	"1969"	"45-54 years"	"45-54"	618	1118000	55.3
	"1969"	"1969"	"55-64 years"	"55-64"	614	851000	72.2
	"1969"	"1969"	"65-74 years"	"65-74"	479	572000	83.7
	"1969"	"1969"	"75-84 years"	"75-84"	206	227000	90.7
	"1969"	"1969"	"85+ years"	"85+"	57	60000	95.0
	"1969"	"1969"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
"Total"	"1969"	"1969"			2416	11718186	20.6
	"1970"	"1970"	"< 1 year"	"1"	0	276702	0.0 (Unreliable)
	"1970"	"1970"	"1-4 years"	"1-4"	0	970376	0.0 (Unreliable)
	"1970"	"1970"	"5-9 years"	"5-9"	0	1370073	0.0 (Unreliable)
	"1970"	"1970"	"10-14 years"	"10-14"	0	1403154	0.0 (Unreliable)
