"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1970"	"1970"	"15-19 years"	"15-19"	0	1221440	0.0 (Unreliable)
	"1970"	"1970"	"20-24 years"	"20-24"	6	974372	0.6 (Unreliable)
	"1970"	"1970"	"25-34 years"	"25-34"	86	1455562	5.9
	"1970"	"1970"	"35-44 years"	"35-44"	319	1309316	24.4
	"1970"	"1970"	"45-54 years"	"45-54"	590	1133625	52.0
	"1970"	"1970"	"55-64 years"	"55-64"	562	868176	64.7
	"1970"	"1970"	"65-74 years"	"65-74"	450	581881	77.3
	"1970"	"1970"	"75-84 years"	"75-84"	234	229917	101.8
	"1970"	"1970"	"85+ years"	"85+"	80	71386	112.1
	"1970"	"1970"	"Not Stated"	"NS"	4	Not Applicable	Not Applicable
"Total"	"1970"	"1970"			2331	11865980	19.6
	"1971"	"1971"	"< 1 year"	"1"	0	272898	0.0 (Unreliable)
	"1971"	"1971"	"1-4 years"	"1-4"	0	969000	0.0 (Unreliable)
	"1971"	"1971"	"5-9 years"	"5-9"	0	1354000	0.0 (Unreliable)
	"1971"	"1971"	"10-14 years"	"10-14"	0	1432000	0.0 (Unreliable)
	"1971"	"1971"	"15-19 years"	"15-19"	0	1276000	0.0 (Unreliable)
	"1971"	"1971"	"20-24 years"	"20-24"	4	1060000	0.4 (Unreliable)
	"1971"	"1971"	"25-34 years"	"25-34"	84	1504000	5.6
	"1971"	"1971"	"35-44 years"	"35-44"	299	1308000	22.9
	"1971"	"1971"	"45-54 years"	"45-54"	672	1166000	57.6
	"1971"	"1971"	"55-64 years"	"55-64"	659	888000	74.2
	"1971"	"1971"	"65-74 years"	"65-74"	485	593000	81.8
	"1971"	"1971"	"75-84 years"	"75-84"	234	259000	90.3
	"1971"	"1971"	"85+ years"	"85+"	77	67000	114.9
	"1971"	"1971"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
"Total"	"1971"	"1971"			2515	12148898	20.7
	"1972"	"1972"	"< 1 year"	"1"	0	256575	0.0 (Unreliable)
	"1972"	"1972"	"1-4 years"	"1-4"	0	985000	0.0 (Unreliable)
	"1972"	"1972"	"5-9 years"	"5-9"	0	1328000	0.0 (Unreliable)
	"1972"	"1972"	"10-14 years"	"10-14"	0	1442000	0.0 (Unreliable)
	"1972"	"1972"	"15-19 years"	"15-19"	2	1328000	0.2 (Unreliable)
	"1972"	"1972"	"20-24 years"	"20-24"	2	1099000	0.2 (Unreliable)
	"1972"	"1972"	"25-34 years"	"25-34"	84	1575000	5.3
	"1972"	"1972"	"35-44 years"	"35-44"	350	1314000	26.6
	"1972"	"1972"	"45-54 years"	"45-54"	654	1185000	55.2
	"1972"	"1972"	"55-64 years"	"55-64"	628	905000	69.4
	"1972"	"1972"	"65-74 years"	"65-74"	558	602000	92.7
	"1972"	"1972"	"75-84 years"	"75-84"	262	280000	93.6
	"1972"	"1972"	"85+ years"	"85+"	80	70000	114.3
	"1972"	"1972"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1972"	"1972"			2620	12369575	21.2
	"1973"	"1973"	"< 1 year"	"1"	0	246775	0.0 (Unreliable)
	"1973"	"1973"	"1-4 years"	"1-4"	0	990000	0.0 (Unreliable)
	"1973"	"1973"	"5-9 years"	"5-9"	1	1300000	0.1 (Unreliable)
	"1973"	"1973"	"10-14 years"	"10-14"	0	1451000	0.0 (Unreliable)
	"1973"	"1973"	"15-19 years"	"15-19"	0	1371000	0.0 (Unreliable)
	"1973"	"1973"	"20-24 years"	"20-24"	5	1141000	0.4 (Unreliable)
	"1973"	"1973"	"25-34 years"	"25-34"	81	1643000	4.9
	"1973"	"1973"	"35-44 years"	"35-44"	337	1323000	25.5
	"1973"	"1973"	"45-54 years"	"45-54"	693	1204000	57.6
	"1973"	"1973"	"55-64 years"	"55-64"	671	916000	73.3
	"1973"	"1973"	"65-74 years"	"65-74"	608	621000	97.9
	"1973"	"1973"	"75-84 years"	"75-84"	244	296000	82.4
	"1973"	"1973"	"85+ years"	"85+"	99	73000	135.6
	"1973"	"1973"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1973"	"1973"			2739	12575775	21.8
	"1974"	"1974"	"< 1 year"	"1"	0	243435	0.0 (Unreliable)
	"1974"	"1974"	"1-4 years"	"1-4"	0	981000	0.0 (Unreliable)
	"1974"	"1974"	"5-9 years"	"5-9"	0	1278000	0.0 (Unreliable)
	"1974"	"1974"	"10-14 years"	"10-14"	0	1451000	0.0 (Unreliable)
	"1974"	"1974"	"15-19 years"	"15-19"	0	1411000	0.0 (Unreliable)
	"1974"	"1974"	"20-24 years"	"20-24"	14	1185000	1.2 (Unreliable)
	"1974"	"1974"	"25-34 years"	"25-34"	80	1724000	4.6
	"1974"	"1974"	"35-44 years"	"35-44"	338	1333000	25.4
	"1974"	"1974"	"45-54 years"	"45-54"	729	1214000	60.0
	"1974"	"1974"	"55-64 years"	"55-64"	715	937000	76.3
	"1974"	"1974"	"65-74 years"	"65-74"	601	640000	93.9
	"1974"	"1974"	"75-84 years"	"75-84"	258	309000	83.5
	"1974"	"1974"	"85+ years"	"85+"	111	78000	142.3
	"1974"	"1974"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1974"	"1974"			2846	12784435	22.3
	"1975"	"1975"	"< 1 year"	"1"	0	244882	0.0 (Unreliable)
	"1975"	"1975"	"1-4 years"	"1-4"	0	959000	0.0 (Unreliable)
	"1975"	"1975"	"5-9 years"	"5-9"	0	1264000	0.0 (Unreliable)
	"1975"	"1975"	"10-14 years"	"10-14"	0	1448000	0.0 (Unreliable)
	"1975"	"1975"	"15-19 years"	"15-19"	0	1441000	0.0 (Unreliable)
	"1975"	"1975"	"20-24 years"	"20-24"	7	1232000	0.6 (Unreliable)
	"1975"	"1975"	"25-34 years"	"25-34"	67	1808000	3.7
	"1975"	"1975"	"35-44 years"	"35-44"	311	1336000	23.3
	"1975"	"1975"	"45-54 years"	"45-54"	634	1220000	52.0
	"1975"	"1975"	"55-64 years"	"55-64"	735	961000	76.5
	"1975"	"1975"	"65-74 years"	"65-74"	556	662000	84.0
	"1975"	"1975"	"75-84 years"	"75-84"	290	328000	88.4
	"1975"	"1975"	"85+ years"	"85+"	92	84000	109.5
	"1975"	"1975"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1975"	"1975"			2692	12987882	20.7
	"1976"	"1976"	"< 1 year"	"1"	0	245968	0.0 (Unreliable)
	"1976"	"1976"	"1-4 years"	"1-4"	0	929000	0.0 (Unreliable)
	"1976"	"1976"	"5-9 years"	"5-9"	0	1272000	0.0 (Unreliable)
	"1976"	"1976"	"10-14 years"	"10-14"	0	1429000	0.0 (Unreliable)
	"1976"	"1976"	"15-19 years"	"15-19"	0	1468000	0.0 (Unreliable)
	"1976"	"1976"	"20-24 years"	"20-24"	3	1273000	0.2 (Unreliable)
	"1976"	"1976"	"25-34 years"	"25-34"	71	1896000	3.7
	"1976"	"1976"	"35-44 years"	"35-44"	303	1360000	22.3
	"1976"	"1976"	"45-54 years"	"45-54"	632	1228000	51.5
	"1976"	"1976"	"55-64 years"	"55-64"	715	972000	73.6
	"1976"	"1976"	"65-74 years"	"65-74"	583	686000	85.0
	"1976"	"1976"	"75-84 years"	"75-84"	346	349000	99.1
	"1976"	"1976"	"85+ years"	"85+"	140	89000	157.3
	"1976"	"1976"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1976"	"1976"			2793	13196968	21.2
	"1977"	"1977"	"< 1 year"	"1"	0	259836	0.0 (Unreliable)
	"1977"	"1977"	"1-4 years"	"1-4"	0	913000	0.0 (Unreliable)
	"1977"	"1977"	"5-9 years"	"5-9"	0	1275000	0.0 (Unreliable)
	"1977"	"1977"	"10-14 years"	"10-14"	0	1400000	0.0 (Unreliable)
	"1977"	"1977"	"15-19 years"	"15-19"	0	1482000	0.0 (Unreliable)
	"1977"	"1977"	"20-24 years"	"20-24"	3	1324000	0.2 (Unreliable)
	"1977"	"1977"	"25-34 years"	"25-34"	100	1983000	5.0
	"1977"	"1977"	"35-44 years"	"35-44"	289	1391000	20.8
	"1977"	"1977"	"45-54 years"	"45-54"	731	1232000	59.3
	"1977"	"1977"	"55-64 years"	"55-64"	809	995000	81.3
	"1977"	"1977"	"65-74 years"	"65-74"	678	714000	95.0
	"1977"	"1977"	"75-84 years"	"75-84"	361	354000	102.0
	"1977"	"1977"	"85+ years"	"85+"	143	94000	152.1
	"1977"	"1977"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1977"	"1977"			3114	13416836	23.2
	"1978"	"1978"	"< 1 year"	"1"	0	262807	0.0 (Unreliable)
	"1978"	"1978"	"1-4 years"	"1-4"	0	919000	0.0 (Unreliable)
	"1978"	"1978"	"5-9 years"	"5-9"	0	1273000	0.0 (Unreliable)
	"1978"	"1978"	"10-14 years"	"10-14"	0	1370000	0.0 (Unreliable)
	"1978"	"1978"	"15-19 years"	"15-19"	2	1497000	0.1 (Unreliable)
	"1978"	"1978"	"20-24 years"	"20-24"	4	1368000	0.3 (Unreliable)
	"1978"	"1978"	"25-34 years"	"25-34"	94	2072000	4.5
	"1978"	"1978"	"35-44 years"	"35-44"	349	1424000	24.5
	"1978"	"1978"	"45-54 years"	"45-54"	678	1242000	54.6
	"1978"	"1978"	"55-64 years"	"55-64"	794	1019000	77.9
	"1978"	"1978"	"65-74 years"	"65-74"	641	743000	86.3
	"1978"	"1978"	"75-84 years"	"75-84"	389	358000	108.7
	"1978"	"1978"	"85+ years"	"85+"	144	99000	145.5
	"1978"	"1978"	"Not Stated"	"NS"	2	Not Applicable	Not Applicable
"Total"	"1978"	"1978"			3097	13646807	22.7
"Total"					29573	138236612	21.4
"---"
"Dataset: Compressed Mortality, 1968-1978"
"Query Parameters:"
"Gender: Female"
"ICD-8 Codes: 174 (Malignant neoplasm of breast)"
"Race: Black or African American"
"Group By: Year; Age Group"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cmf.html for more information."
"---"
"Query Date: Jul 2, 2020 2:14:17 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Compressed Mortality File"
"1968-1978. CDC WONDER Online Database, compiled from Compressed Mortality File CMF 1968-1988, Series 20, No. 2A, 2000. Accessed"
"at http://wonder.cdc.gov/cmf-icd8.html on Jul 2, 2020 2:14:17 PM"
"---"
Caveats:
"1. About national population figures: population figures for 1968-69 and 1971-78 are intercensal estimates of the July 1"
"resident population; population figures for 1970 are April 1 modified census counts. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Population Information."
"2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Unreliable."
"3. The population figures used in the calculation of death rates for the age group 'under 1 year' are the number of live births"
"for the given time period. More information: http://wonder.cdc.gov/wonder/help/cmf.html#Age Group."
"4. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Not Stated."
