"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"87 years"	"87"	12	Not Applicable	Not Applicable
	"1999"	"1999"	"88 years"	"88"	13	Not Applicable	Not Applicable
	"1999"	"1999"	"89 years"	"89"	9	Not Applicable	Not Applicable
	"1999"	"1999"	"90 years"	"90"	9	Not Applicable	Not Applicable
	"1999"	"1999"	"91 years"	"91"	18	Not Applicable	Not Applicable
	"1999"	"1999"	"92 years"	"92"	7	Not Applicable	Not Applicable
	"1999"	"1999"	"93 years"	"93"	4	Not Applicable	Not Applicable
	"1999"	"1999"	"94 years"	"94"	7	Not Applicable	Not Applicable
	"1999"	"1999"	"95 years"	"95"	5	Not Applicable	Not Applicable
	"1999"	"1999"	"96 years"	"96"	4	Not Applicable	Not Applicable
	"1999"	"1999"	"97 years"	"97"	3	Not Applicable	Not Applicable
	"1999"	"1999"	"98 years"	"98"	2	Not Applicable	Not Applicable
	"1999"	"1999"	"99 years"	"99"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"100+ years"	"100"	3	Not Applicable	Not Applicable
	"1999"	"1999"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1999"	"1999"			1538	16501431	9.3
	"2000"	"2000"	"< 1 year"	"0"	0	376442	Unreliable
	"2000"	"2000"	"1 year"	"1"	0	365370	Unreliable
	"2000"	"2000"	"2 years"	"2"	0	357517	Unreliable
	"2000"	"2000"	"3 years"	"3"	0	357474	Unreliable
	"2000"	"2000"	"4 years"	"4"	0	360740	Unreliable
	"2000"	"2000"	"5 years"	"5"	0	357751	Unreliable
	"2000"	"2000"	"6 years"	"6"	0	356210	Unreliable
	"2000"	"2000"	"7 years"	"7"	0	357238	Unreliable
	"2000"	"2000"	"8 years"	"8"	0	352413	Unreliable
	"2000"	"2000"	"9 years"	"9"	0	348183	Unreliable
	"2000"	"2000"	"10 years"	"10"	0	336172	Unreliable
	"2000"	"2000"	"11 years"	"11"	0	312935	Unreliable
	"2000"	"2000"	"12 years"	"12"	0	307184	Unreliable
	"2000"	"2000"	"13 years"	"13"	0	297225	Unreliable
	"2000"	"2000"	"14 years"	"14"	0	292711	Unreliable
	"2000"	"2000"	"15 years"	"15"	0	288887	Unreliable
	"2000"	"2000"	"16 years"	"16"	0	286423	Unreliable
	"2000"	"2000"	"17 years"	"17"	0	296540	Unreliable
	"2000"	"2000"	"18 years"	"18"	0	302116	Unreliable
	"2000"	"2000"	"19 years"	"19"	0	309124	Unreliable
	"2000"	"2000"	"20 years"	"20"	0	310559	Unreliable
	"2000"	"2000"	"21 years"	"21"	0	299677	Unreliable
	"2000"	"2000"	"22 years"	"22"	1	304377	Unreliable
	"2000"	"2000"	"23 years"	"23"	0	308405	Unreliable
	"2000"	"2000"	"24 years"	"24"	0	311270	Unreliable
	"2000"	"2000"	"25 years"	"25"	1	315482	Unreliable
	"2000"	"2000"	"26 years"	"26"	1	305138	Unreliable
	"2000"	"2000"	"27 years"	"27"	3	313090	Unreliable
	"2000"	"2000"	"28 years"	"28"	5	310841	Unreliable
	"2000"	"2000"	"29 years"	"29"	6	314637	Unreliable
	"2000"	"2000"	"30 years"	"30"	9	313550	Unreliable
	"2000"	"2000"	"31 years"	"31"	3	290236	Unreliable
	"2000"	"2000"	"32 years"	"32"	11	289038	Unreliable
	"2000"	"2000"	"33 years"	"33"	8	280682	Unreliable
	"2000"	"2000"	"34 years"	"34"	7	283331	Unreliable
	"2000"	"2000"	"35 years"	"35"	13	288816	Unreliable
	"2000"	"2000"	"36 years"	"36"	14	278393	Unreliable
	"2000"	"2000"	"37 years"	"37"	17	269812	Unreliable
	"2000"	"2000"	"38 years"	"38"	22	258275	8.5
	"2000"	"2000"	"39 years"	"39"	23	255400	9.0
	"2000"	"2000"	"40 years"	"40"	22	252303	8.7
	"2000"	"2000"	"41 years"	"41"	19	227722	Unreliable
	"2000"	"2000"	"42 years"	"42"	31	225621	13.7
	"2000"	"2000"	"43 years"	"43"	16	214019	Unreliable
	"2000"	"2000"	"44 years"	"44"	39	205939	18.9
	"2000"	"2000"	"45 years"	"45"	34	201181	16.9
	"2000"	"2000"	"46 years"	"46"	38	184164	20.6
	"2000"	"2000"	"47 years"	"47"	38	176188	21.6
	"2000"	"2000"	"48 years"	"48"	34	164783	20.6
	"2000"	"2000"	"49 years"	"49"	40	162157	24.7
	"2000"	"2000"	"50 years"	"50"	36	160557	22.4
	"2000"	"2000"	"51 years"	"51"	43	144454	29.8
	"2000"	"2000"	"52 years"	"52"	43	140950	30.5
	"2000"	"2000"	"53 years"	"53"	37	131531	28.1
	"2000"	"2000"	"54 years"	"54"	36	119207	30.2
	"2000"	"2000"	"55 years"	"55"	31	112614	27.5
	"2000"	"2000"	"56 years"	"56"	43	106990	40.2
	"2000"	"2000"	"57 years"	"57"	42	102278	41.1
	"2000"	"2000"	"58 years"	"58"	39	92358	42.2
	"2000"	"2000"	"59 years"	"59"	46	89628	51.3
	"2000"	"2000"	"60 years"	"60"	32	88786	36.0
	"2000"	"2000"	"61 years"	"61"	34	82289	41.3
	"2000"	"2000"	"62 years"	"62"	26	80094	32.5
	"2000"	"2000"	"63 years"	"63"	33	76605	43.1
	"2000"	"2000"	"64 years"	"64"	29	75224	38.6
	"2000"	"2000"	"65 years"	"65"	42	73979	56.8
	"2000"	"2000"	"66 years"	"66"	40	66375	60.3
	"2000"	"2000"	"67 years"	"67"	33	65573	50.3
	"2000"	"2000"	"68 years"	"68"	29	62436	46.4
	"2000"	"2000"	"69 years"	"69"	37	62806	58.9
	"2000"	"2000"	"70 years"	"70"	36	61997	58.1
	"2000"	"2000"	"71 years"	"71"	31	56991	54.4
	"2000"	"2000"	"72 years"	"72"	29	53841	53.9
	"2000"	"2000"	"73 years"	"73"	30	50578	59.3
	"2000"	"2000"	"74 years"	"74"	24	48168	49.8
	"2000"	"2000"	"75 years"	"75"	28	45807	61.1
	"2000"	"2000"	"76 years"	"76"	23	40925	56.2
	"2000"	"2000"	"77 years"	"77"	25	37315	67.0
	"2000"	"2000"	"78 years"	"78"	26	35024	74.2
	"2000"	"2000"	"79 years"	"79"	31	32192	96.3
	"2000"	"2000"	"80 years"	"80"	28	29303	95.6
	"2000"	"2000"	"81 years"	"81"	22	23858	92.2
	"2000"	"2000"	"82 years"	"82"	12	21932	Unreliable
	"2000"	"2000"	"83 years"	"83"	13	19064	Unreliable
	"2000"	"2000"	"84 years"	"84"	19	17462	Unreliable
	"2000"	"2000"	"85 years"	"85"	10	Not Applicable	Not Applicable
	"2000"	"2000"	"86 years"	"86"	11	Not Applicable	Not Applicable
	"2000"	"2000"	"87 years"	"87"	17	Not Applicable	Not Applicable
	"2000"	"2000"	"88 years"	"88"	12	Not Applicable	Not Applicable
	"2000"	"2000"	"89 years"	"89"	14	Not Applicable	Not Applicable
	"2000"	"2000"	"90 years"	"90"	7	Not Applicable	Not Applicable
	"2000"	"2000"	"91 years"	"91"	11	Not Applicable	Not Applicable
	"2000"	"2000"	"92 years"	"92"	5	Not Applicable	Not Applicable
	"2000"	"2000"	"93 years"	"93"	4	Not Applicable	Not Applicable
	"2000"	"2000"	"94 years"	"94"	6	Not Applicable	Not Applicable
	"2000"	"2000"	"95 years"	"95"	4	Not Applicable	Not Applicable
	"2000"	"2000"	"96 years"	"96"	1	Not Applicable	Not Applicable
	"2000"	"2000"	"97 years"	"97"	1	Not Applicable	Not Applicable
	"2000"	"2000"	"98 years"	"98"	0	Not Applicable	Not Applicable
	"2000"	"2000"	"99 years"	"99"	1	Not Applicable	Not Applicable
	"2000"	"2000"	"100+ years"	"100"	3	Not Applicable	Not Applicable
	"2000"	"2000"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"2000"	"2000"			1670	17144023	9.7
	"2001"	"2001"	"< 1 year"	"0"	0	427349	Unreliable
	"2001"	"2001"	"1 year"	"1"	0	391008	Unreliable
	"2001"	"2001"	"2 years"	"2"	0	368603	Unreliable
	"2001"	"2001"	"3 years"	"3"	0	362727	Unreliable
	"2001"	"2001"	"4 years"	"4"	0	360602	Unreliable
	"2001"	"2001"	"5 years"	"5"	0	363474	Unreliable
	"2001"	"2001"	"6 years"	"6"	0	363588	Unreliable
	"2001"	"2001"	"7 years"	"7"	0	361113	Unreliable
	"2001"	"2001"	"8 years"	"8"	0	359909	Unreliable
	"2001"	"2001"	"9 years"	"9"	0	359542	Unreliable
	"2001"	"2001"	"10 years"	"10"	0	356800	Unreliable
	"2001"	"2001"	"11 years"	"11"	0	351003	Unreliable
	"2001"	"2001"	"12 years"	"12"	0	325572	Unreliable
	"2001"	"2001"	"13 years"	"13"	0	317933	Unreliable
	"2001"	"2001"	"14 years"	"14"	0	308788	Unreliable
	"2001"	"2001"	"15 years"	"15"	0	304558	Unreliable
	"2001"	"2001"	"16 years"	"16"	0	303777	Unreliable
	"2001"	"2001"	"17 years"	"17"	0	300405	Unreliable
	"2001"	"2001"	"18 years"	"18"	0	311025	Unreliable
	"2001"	"2001"	"19 years"	"19"	0	320005	Unreliable
	"2001"	"2001"	"20 years"	"20"	0	324071	Unreliable
	"2001"	"2001"	"21 years"	"21"	0	329335	Unreliable
	"2001"	"2001"	"22 years"	"22"	0	315913	Unreliable
	"2001"	"2001"	"23 years"	"23"	1	317566	Unreliable
	"2001"	"2001"	"24 years"	"24"	0	323039	Unreliable
	"2001"	"2001"	"25 years"	"25"	1	324732	Unreliable
	"2001"	"2001"	"26 years"	"26"	2	327827	Unreliable
	"2001"	"2001"	"27 years"	"27"	3	319906	Unreliable
	"2001"	"2001"	"28 years"	"28"	2	322998	Unreliable
	"2001"	"2001"	"29 years"	"29"	7	322887	Unreliable
	"2001"	"2001"	"30 years"	"30"	7	325206	Unreliable
	"2001"	"2001"	"31 years"	"31"	6	322340	Unreliable
	"2001"	"2001"	"32 years"	"32"	9	302856	Unreliable
	"2001"	"2001"	"33 years"	"33"	13	298232	Unreliable
	"2001"	"2001"	"34 years"	"34"	3	289447	Unreliable
	"2001"	"2001"	"35 years"	"35"	17	290162	Unreliable
	"2001"	"2001"	"36 years"	"36"	17	295473	Unreliable
	"2001"	"2001"	"37 years"	"37"	23	287655	8.0
	"2001"	"2001"	"38 years"	"38"	24	276427	8.7
	"2001"	"2001"	"39 years"	"39"	22	267639	8.2
	"2001"	"2001"	"40 years"	"40"	26	259285	10.0
	"2001"	"2001"	"41 years"	"41"	28	260536	10.7
	"2001"	"2001"	"42 years"	"42"	29	237848	12.2
	"2001"	"2001"	"43 years"	"43"	25	227517	11.0
	"2001"	"2001"	"44 years"	"44"	31	220655	14.0
	"2001"	"2001"	"45 years"	"45"	37	210141	17.6
	"2001"	"2001"	"46 years"	"46"	47	205786	22.8
	"2001"	"2001"	"47 years"	"47"	36	190223	18.9
	"2001"	"2001"	"48 years"	"48"	33	180514	18.3
	"2001"	"2001"	"49 years"	"49"	31	168979	18.3
	"2001"	"2001"	"50 years"	"50"	36	163782	22.0
	"2001"	"2001"	"51 years"	"51"	39	164753	23.7
	"2001"	"2001"	"52 years"	"52"	52	148838	34.9
	"2001"	"2001"	"53 years"	"53"	58	143473	40.4
	"2001"	"2001"	"54 years"	"54"	38	137502	27.6
	"2001"	"2001"	"55 years"	"55"	44	121579	36.2
	"2001"	"2001"	"56 years"	"56"	43	115557	37.2
	"2001"	"2001"	"57 years"	"57"	51	109083	46.8
	"2001"	"2001"	"58 years"	"58"	38	104215	36.5
	"2001"	"2001"	"59 years"	"59"	40	95273	42.0
	"2001"	"2001"	"60 years"	"60"	33	89985	36.7
