"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1979"	"1979"	"< 1 year"	"1"	0	1703131	0.0 (Unreliable)
	"1979"	"1979"	"1-4 years"	"1-4"	0	6174000	0.0 (Unreliable)
	"1979"	"1979"	"5-9 years"	"5-9"	0	8286000	0.0 (Unreliable)
	"1979"	"1979"	"10-14 years"	"10-14"	0	9031000	0.0 (Unreliable)
	"1979"	"1979"	"15-19 years"	"15-19"	0	10498000	0.0 (Unreliable)
	"1979"	"1979"	"20-24 years"	"20-24"	18	10541000	0.2 (Unreliable)
	"1979"	"1979"	"25-34 years"	"25-34"	592	18176000	3.3
	"1979"	"1979"	"35-44 years"	"35-44"	2271	12801000	17.7
	"1979"	"1979"	"45-54 years"	"45-54"	5781	11868000	48.7
	"1979"	"1979"	"55-64 years"	"55-64"	8807	11407000	77.2
	"1979"	"1979"	"65-74 years"	"65-74"	8614	8690000	99.1
	"1979"	"1979"	"75-84 years"	"75-84"	5820	4769000	122.0
	"1979"	"1979"	"85+ years"	"85+"	2492	1521000	163.8
	"1979"	"1979"	"Not Stated"	"NS"	5	Not Applicable	Not Applicable
"Total"	"1979"	"1979"			34400	115465131	29.8
	"1980"	"1980"	"< 1 year"	"1"	0	1759642	0.0 (Unreliable)
	"1980"	"1980"	"1-4 years"	"1-4"	0	6258891	0.0 (Unreliable)
	"1980"	"1980"	"5-9 years"	"5-9"	0	8160876	0.0 (Unreliable)
	"1980"	"1980"	"10-14 years"	"10-14"	2	8925908	0.0 (Unreliable)
	"1980"	"1980"	"15-19 years"	"15-19"	3	10412715	0.0 (Unreliable)
	"1980"	"1980"	"20-24 years"	"20-24"	11	10655473	0.1 (Unreliable)
	"1980"	"1980"	"25-34 years"	"25-34"	614	18699936	3.3
	"1980"	"1980"	"35-44 years"	"35-44"	2342	13064991	17.9
	"1980"	"1980"	"45-54 years"	"45-54"	5670	11790868	48.1
	"1980"	"1980"	"55-64 years"	"55-64"	9294	11551120	80.5
	"1980"	"1980"	"65-74 years"	"65-74"	8920	8824103	101.1
	"1980"	"1980"	"75-84 years"	"75-84"	6146	4861867	126.4
	"1980"	"1980"	"85+ years"	"85+"	2638	1558542	169.3
	"1980"	"1980"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
"Total"	"1980"	"1980"			35641	116524932	30.6
	"1981"	"1981"	"< 1 year"	"1"	1	1768966	0.1 (Unreliable)
	"1981"	"1981"	"1-4 years"	"1-4"	1	6490885	0.0 (Unreliable)
	"1981"	"1981"	"5-9 years"	"5-9"	1	7845656	0.0 (Unreliable)
	"1981"	"1981"	"10-14 years"	"10-14"	0	8948747	0.0 (Unreliable)
	"1981"	"1981"	"15-19 years"	"15-19"	0	10095868	0.0 (Unreliable)
	"1981"	"1981"	"20-24 years"	"20-24"	16	10804949	0.1 (Unreliable)
	"1981"	"1981"	"25-34 years"	"25-34"	649	19582346	3.3
	"1981"	"1981"	"35-44 years"	"35-44"	2344	13442887	17.4
	"1981"	"1981"	"45-54 years"	"45-54"	5603	11653224	48.1
	"1981"	"1981"	"55-64 years"	"55-64"	9243	11663739	79.2
	"1981"	"1981"	"65-74 years"	"65-74"	9402	9000646	104.5
	"1981"	"1981"	"75-84 years"	"75-84"	6380	5023449	127.0
	"1981"	"1981"	"85+ years"	"85+"	2839	1648643	172.2
	"1981"	"1981"	"Not Stated"	"NS"	4	Not Applicable	Not Applicable
"Total"	"1981"	"1981"			36483	117970005	30.9
	"1982"	"1982"	"< 1 year"	"1"	4	1794861	0.2 (Unreliable)
	"1982"	"1982"	"1-4 years"	"1-4"	2	6638542	0.0 (Unreliable)
	"1982"	"1982"	"5-9 years"	"5-9"	4	7791204	0.1 (Unreliable)
	"1982"	"1982"	"10-14 years"	"10-14"	1	8867238	0.0 (Unreliable)
	"1982"	"1982"	"15-19 years"	"15-19"	0	9808532	0.0 (Unreliable)
	"1982"	"1982"	"20-24 years"	"20-24"	13	10804754	0.1 (Unreliable)
	"1982"	"1982"	"25-34 years"	"25-34"	674	19822196	3.4
	"1982"	"1982"	"35-44 years"	"35-44"	2470	14264293	17.3
	"1982"	"1982"	"45-54 years"	"45-54"	5459	11556574	47.2
	"1982"	"1982"	"55-64 years"	"55-64"	9449	11722330	80.6
	"1982"	"1982"	"65-74 years"	"65-74"	9482	9145145	103.7
	"1982"	"1982"	"75-84 years"	"75-84"	6801	5164276	131.7
	"1982"	"1982"	"85+ years"	"85+"	3052	1720093	177.4
	"1982"	"1982"	"Not Stated"	"NS"	3	Not Applicable	Not Applicable
"Total"	"1982"	"1982"			37414	119100038	31.4
	"1983"	"1983"	"< 1 year"	"1"	1	1773380	0.1 (Unreliable)
	"1983"	"1983"	"1-4 years"	"1-4"	0	6792063	0.0 (Unreliable)
	"1983"	"1983"	"5-9 years"	"5-9"	6	7835186	0.1 (Unreliable)
	"1983"	"1983"	"10-14 years"	"10-14"	1	8729904	0.0 (Unreliable)
	"1983"	"1983"	"15-19 years"	"15-19"	2	9514903	0.0 (Unreliable)
	"1983"	"1983"	"20-24 years"	"20-24"	21	10762107	0.2
	"1983"	"1983"	"25-34 years"	"25-34"	653	20196644	3.2
	"1983"	"1983"	"35-44 years"	"35-44"	2485	14885248	16.7
	"1983"	"1983"	"45-54 years"	"45-54"	5285	11507048	45.9
	"1983"	"1983"	"55-64 years"	"55-64"	9670	11759260	82.2
	"1983"	"1983"	"65-74 years"	"65-74"	9762	9287321	105.1
	"1983"	"1983"	"75-84 years"	"75-84"	6908	5307864	130.1
	"1983"	"1983"	"85+ years"	"85+"	3183	1786108	178.2
	"1983"	"1983"	"Not Stated"	"NS"	2	Not Applicable	Not Applicable
"Total"	"1983"	"1983"			37979	120137036	31.6
	"1984"	"1984"	"< 1 year"	"1"	1	1789651	0.1 (Unreliable)
	"1984"	"1984"	"1-4 years"	"1-4"	0	6900287	0.0 (Unreliable)
	"1984"	"1984"	"5-9 years"	"5-9"	1	7974670	0.0 (Unreliable)
	"1984"	"1984"	"10-14 years"	"10-14"	0	8520132	0.0 (Unreliable)
	"1984"	"1984"	"15-19 years"	"15-19"	3	9287144	0.0 (Unreliable)
	"1984"	"1984"	"20-24 years"	"20-24"	13	10686729	0.1 (Unreliable)
	"1984"	"1984"	"25-34 years"	"25-34"	682	20551865	3.3
	"1984"	"1984"	"35-44 years"	"35-44"	2870	15505540	18.5
	"1984"	"1984"	"45-54 years"	"45-54"	5298	11510370	46.0
	"1984"	"1984"	"55-64 years"	"55-64"	9713	11772191	82.5
	"1984"	"1984"	"65-74 years"	"65-74"	10159	9401244	108.1
	"1984"	"1984"	"75-84 years"	"75-84"	7365	5452349	135.1
	"1984"	"1984"	"85+ years"	"85+"	3365	1847799	182.1
	"1984"	"1984"	"Not Stated"	"NS"	2	Not Applicable	Not Applicable
"Total"	"1984"	"1984"			39472	121199971	32.6
	"1985"	"1985"	"< 1 year"	"1"	2	1832578	0.1 (Unreliable)
	"1985"	"1985"	"1-4 years"	"1-4"	0	6918279	0.0 (Unreliable)
	"1985"	"1985"	"5-9 years"	"5-9"	0	8136717	0.0 (Unreliable)
	"1985"	"1985"	"10-14 years"	"10-14"	0	8308864	0.0 (Unreliable)
	"1985"	"1985"	"15-19 years"	"15-19"	0	9174206	0.0 (Unreliable)
	"1985"	"1985"	"20-24 years"	"20-24"	19	10541496	0.2 (Unreliable)
	"1985"	"1985"	"25-34 years"	"25-34"	627	20903468	3.0
	"1985"	"1985"	"35-44 years"	"35-44"	2823	16097038	17.5
	"1985"	"1985"	"45-54 years"	"45-54"	5433	11542762	47.1
	"1985"	"1985"	"55-64 years"	"55-64"	9895	11751158	84.2
