"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"86 years"	"86"	764	Not Applicable	Not Applicable
	"1999"	"1999"	"87 years"	"87"	675	Not Applicable	Not Applicable
	"1999"	"1999"	"88 years"	"88"	622	Not Applicable	Not Applicable
	"1999"	"1999"	"89 years"	"89"	548	Not Applicable	Not Applicable
	"1999"	"1999"	"90 years"	"90"	474	Not Applicable	Not Applicable
	"1999"	"1999"	"91 years"	"91"	456	Not Applicable	Not Applicable
	"1999"	"1999"	"92 years"	"92"	387	Not Applicable	Not Applicable
	"1999"	"1999"	"93 years"	"93"	291	Not Applicable	Not Applicable
	"1999"	"1999"	"94 years"	"94"	216	Not Applicable	Not Applicable
	"1999"	"1999"	"95 years"	"95"	188	Not Applicable	Not Applicable
	"1999"	"1999"	"96 years"	"96"	144	Not Applicable	Not Applicable
	"1999"	"1999"	"97 years"	"97"	121	Not Applicable	Not Applicable
	"1999"	"1999"	"98 years"	"98"	98	Not Applicable	Not Applicable
	"1999"	"1999"	"99 years"	"99"	53	Not Applicable	Not Applicable
	"1999"	"1999"	"100+ years"	"100"	123	Not Applicable	Not Applicable
	"1999"	"1999"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1999"	"1999"			41144	142237295	28.9
	"2000"	"2000"	"< 1 year"	"0"	0	1856631	Unreliable
	"2000"	"2000"	"1 year"	"1"	0	1867477	Unreliable
	"2000"	"2000"	"2 years"	"2"	0	1851456	Unreliable
	"2000"	"2000"	"3 years"	"3"	0	1873836	Unreliable
	"2000"	"2000"	"4 years"	"4"	0	1915665	Unreliable
	"2000"	"2000"	"5 years"	"5"	0	1934031	Unreliable
	"2000"	"2000"	"6 years"	"6"	0	1961488	Unreliable
	"2000"	"2000"	"7 years"	"7"	0	2008279	Unreliable
	"2000"	"2000"	"8 years"	"8"	0	2041401	Unreliable
	"2000"	"2000"	"9 years"	"9"	0	2081029	Unreliable
	"2000"	"2000"	"10 years"	"10"	0	2082812	Unreliable
	"2000"	"2000"	"11 years"	"11"	0	2006936	Unreliable
	"2000"	"2000"	"12 years"	"12"	0	1988614	Unreliable
	"2000"	"2000"	"13 years"	"13"	0	1956842	Unreliable
	"2000"	"2000"	"14 years"	"14"	0	1972671	Unreliable
	"2000"	"2000"	"15 years"	"15"	0	1954277	Unreliable
	"2000"	"2000"	"16 years"	"16"	0	1926439	Unreliable
	"2000"	"2000"	"17 years"	"17"	0	1954732	Unreliable
	"2000"	"2000"	"18 years"	"18"	0	1972745	Unreliable
	"2000"	"2000"	"19 years"	"19"	1	2020693	Unreliable
	"2000"	"2000"	"20 years"	"20"	0	1978228	Unreliable
	"2000"	"2000"	"21 years"	"21"	1	1875409	Unreliable
	"2000"	"2000"	"22 years"	"22"	1	1837099	Unreliable
