"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1973"	"1973"	"35-44 years"	"35-44"	2233	11629000	19.2
	"1973"	"1973"	"45-54 years"	"45-54"	6400	12336000	51.9
	"1973"	"1973"	"55-64 years"	"55-64"	8216	10285000	79.9
	"1973"	"1973"	"65-74 years"	"65-74"	7548	7491000	100.8
	"1973"	"1973"	"75-84 years"	"75-84"	5091	4103000	124.1
	"1973"	"1973"	"85+ years"	"85+"	1838	1069000	171.9
	"1973"	"1973"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1973"	"1973"			31850	108393639	29.4
	"1974"	"1974"	"< 1 year"	"1"	0	1537844	0.0 (Unreliable)
	"1974"	"1974"	"1-4 years"	"1-4"	0	6569000	0.0 (Unreliable)
	"1974"	"1974"	"5-9 years"	"5-9"	0	8730000	0.0 (Unreliable)
	"1974"	"1974"	"10-14 years"	"10-14"	0	10243000	0.0 (Unreliable)
	"1974"	"1974"	"15-19 years"	"15-19"	1	10349000	0.0 (Unreliable)
	"1974"	"1974"	"20-24 years"	"20-24"	23	9415000	0.2
	"1974"	"1974"	"25-34 years"	"25-34"	540	15211000	3.6
	"1974"	"1974"	"35-44 years"	"35-44"	2160	11633000	18.6
	"1974"	"1974"	"45-54 years"	"45-54"	6379	12336000	51.7
	"1974"	"1974"	"55-64 years"	"55-64"	8349	10447000	79.9
	"1974"	"1974"	"65-74 years"	"65-74"	7458	7685000	97.0
	"1974"	"1974"	"75-84 years"	"75-84"	5252	4196000	125.2
	"1974"	"1974"	"85+ years"	"85+"	1969	1141000	172.6
	"1974"	"1974"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
"Total"	"1974"	"1974"			32132	109492844	29.3
	"1975"	"1975"	"< 1 year"	"1"	2	1531063	0.1 (Unreliable)
	"1975"	"1975"	"1-4 years"	"1-4"	0	6342000	0.0 (Unreliable)
	"1975"	"1975"	"5-9 years"	"5-9"	0	8623000	0.0 (Unreliable)
	"1975"	"1975"	"10-14 years"	"10-14"	1	10112000	0.0 (Unreliable)
	"1975"	"1975"	"15-19 years"	"15-19"	3	10465000	0.0 (Unreliable)
	"1975"	"1975"	"20-24 years"	"20-24"	21	9677000	0.2
	"1975"	"1975"	"25-34 years"	"25-34"	516	15833000	3.3
	"1975"	"1975"	"35-44 years"	"35-44"	2160	11631000	18.6
	"1975"	"1975"	"45-54 years"	"45-54"	6184	12307000	50.2
	"1975"	"1975"	"55-64 years"	"55-64"	8257	10629000	77.7
	"1975"	"1975"	"65-74 years"	"65-74"	7610	7880000	96.6
	"1975"	"1975"	"75-84 years"	"75-84"	5382	4324000	124.5
	"1975"	"1975"	"85+ years"	"85+"	2022	1227000	164.8
	"1975"	"1975"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1975"	"1975"			32158	110581063	29.1
	"1976"	"1976"	"< 1 year"	"1"	0	1543352	0.0 (Unreliable)
	"1976"	"1976"	"1-4 years"	"1-4"	0	6114000	0.0 (Unreliable)
	"1976"	"1976"	"5-9 years"	"5-9"	0	8655000	0.0 (Unreliable)
