"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1979"	"1979"	"< 1 year"	"1"	19685	1703131	1155.8
	"1979"	"1979"	"1-4 years"	"1-4"	3517	6174000	57.0
	"1979"	"1979"	"5-9 years"	"5-9"	2099	8286000	25.3
	"1979"	"1979"	"10-14 years"	"10-14"	2105	9031000	23.3
	"1979"	"1979"	"15-19 years"	"15-19"	5538	10498000	52.8
	"1979"	"1979"	"20-24 years"	"20-24"	6580	10541000	62.4
	"1979"	"1979"	"25-34 years"	"25-34"	13595	18176000	74.8
	"1979"	"1979"	"35-44 years"	"35-44"	20666	12801000	161.4
	"1979"	"1979"	"45-54 years"	"45-54"	49062	11868000	413.4
	"1979"	"1979"	"55-64 years"	"55-64"	104678	11407000	917.7
	"1979"	"1979"	"65-74 years"	"65-74"	180084	8690000	2072.3
	"1979"	"1979"	"75-84 years"	"75-84"	251360	4769000	5270.7
	"1979"	"1979"	"85+ years"	"85+"	209719	1521000	13788.2
	"1979"	"1979"	"Not Stated"	"NS"	194	Not Applicable	Not Applicable
"Total"	"1979"	"1979"			868882	115465131	752.5
	"1980"	"1980"	"< 1 year"	"1"	19722	1759642	1120.8
	"1980"	"1980"	"1-4 years"	"1-4"	3426	6258891	54.7
	"1980"	"1980"	"5-9 years"	"5-9"	2086	8160876	25.6
	"1980"	"1980"	"10-14 years"	"10-14"	2043	8925908	22.9
	"1980"	"1980"	"15-19 years"	"15-19"	5526	10412715	53.1
	"1980"	"1980"	"20-24 years"	"20-24"	6598	10655473	61.9
	"1980"	"1980"	"25-34 years"	"25-34"	14200	18699936	75.9
	"1980"	"1980"	"35-44 years"	"35-44"	20806	13064991	159.3
	"1980"	"1980"	"45-54 years"	"45-54"	48685	11790868	412.9
	"1980"	"1980"	"55-64 years"	"55-64"	107919	11551120	934.3
	"1980"	"1980"	"65-74 years"	"65-74"	189250	8824103	2144.7
	"1980"	"1980"	"75-84 years"	"75-84"	264492	4861867	5440.1
	"1980"	"1980"	"85+ years"	"85+"	229836	1558542	14746.9
	"1980"	"1980"	"Not Stated"	"NS"	174	Not Applicable	Not Applicable
"Total"	"1980"	"1980"			914763	116524932	785.0
	"1981"	"1981"	"< 1 year"	"1"	18853	1768966	1065.8
	"1981"	"1981"	"1-4 years"	"1-4"	3446	6490885	53.1
	"1981"	"1981"	"5-9 years"	"5-9"	1850	7845656	23.6
	"1981"	"1981"	"10-14 years"	"10-14"	1972	8948747	22.0
	"1981"	"1981"	"15-19 years"	"15-19"	5025	10095868	49.8
	"1981"	"1981"	"20-24 years"	"20-24"	6389	10804949	59.1
	"1981"	"1981"	"25-34 years"	"25-34"	14514	19582346	74.1
	"1981"	"1981"	"35-44 years"	"35-44"	20633	13442887	153.5
	"1981"	"1981"	"45-54 years"	"45-54"	47363	11653224	406.4
	"1981"	"1981"	"55-64 years"	"55-64"	108124	11663739	927.0
	"1981"	"1981"	"65-74 years"	"65-74"	189098	9000646	2100.9
	"1981"	"1981"	"75-84 years"	"75-84"	262128	5023449	5218.1
	"1981"	"1981"	"85+ years"	"85+"	234625	1648643	14231.4
	"1981"	"1981"	"Not Stated"	"NS"	189	Not Applicable	Not Applicable
"Total"	"1981"	"1981"			914209	117970005	775.0
	"1982"	"1982"	"< 1 year"	"1"	18328	1794861	1021.1
	"1982"	"1982"	"1-4 years"	"1-4"	3462	6638542	52.2
	"1982"	"1982"	"5-9 years"	"5-9"	1828	7791204	23.5
	"1982"	"1982"	"10-14 years"	"10-14"	1874	8867238	21.1
	"1982"	"1982"	"15-19 years"	"15-19"	4517	9808532	46.1
	"1982"	"1982"	"20-24 years"	"20-24"	6078	10804754	56.3
	"1982"	"1982"	"25-34 years"	"25-34"	13948	19822196	70.4
	"1982"	"1982"	"35-44 years"	"35-44"	20650	14264293	144.8
	"1982"	"1982"	"45-54 years"	"45-54"	45082	11556574	390.1
	"1982"	"1982"	"55-64 years"	"55-64"	107692	11722330	918.7
	"1982"	"1982"	"65-74 years"	"65-74"	190462	9145145	2082.7
	"1982"	"1982"	"75-84 years"	"75-84"	266022	5164276	5151.2
	"1982"	"1982"	"85+ years"	"85+"	238163	1720093	13845.9
	"1982"	"1982"	"Not Stated"	"NS"	251	Not Applicable	Not Applicable
"Total"	"1982"	"1982"			918357	119100038	771.1
	"1983"	"1983"	"< 1 year"	"1"	17658	1773380	995.7
	"1983"	"1983"	"1-4 years"	"1-4"	3289	6792063	48.4
	"1983"	"1983"	"5-9 years"	"5-9"	1727	7835186	22.0
	"1983"	"1983"	"10-14 years"	"10-14"	1761	8729904	20.2
	"1983"	"1983"	"15-19 years"	"15-19"	4355	9514903	45.8
	"1983"	"1983"	"20-24 years"	"20-24"	5880	10762107	54.6
	"1983"	"1983"	"25-34 years"	"25-34"	13934	20196644	69.0
	"1983"	"1983"	"35-44 years"	"35-44"	20961	14885248	140.8
	"1983"	"1983"	"45-54 years"	"45-54"	44495	11507048	386.7
	"1983"	"1983"	"55-64 years"	"55-64"	109132	11759260	928.1
	"1983"	"1983"	"65-74 years"	"65-74"	194706	9287321	2096.5
	"1983"	"1983"	"75-84 years"	"75-84"	274457	5307864	5170.8
	"1983"	"1983"	"85+ years"	"85+"	254712	1786108	14260.7
